2024-03-19 20:34:05 : scalar : MinMaxScalar
2024-03-19 20:34:05 : train test split : 0.25
2024-03-19 20:34:05 : random state : 15
2024-03-19 20:34:05 : epochs : 1000
2024-03-19 20:34:05 : learning rate : 0.01
2024-03-19 20:34:05 : activation function : tanh
2024-03-19 20:34:05 : loss function : mean_squared_error
2024-03-19 20:34:05 : Optimizer : AdaGrad

2024-03-19 20:34:05 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 1.28827 	 Accuracy : 0.603293
Epoch : 2 	 Error : 0.198833 	 Accuracy : 0.742515
Epoch : 3 	 Error : 0.178403 	 Accuracy : 0.796407
Epoch : 4 	 Error : 0.166997 	 Accuracy : 0.784431
Epoch : 5 	 Error : 0.160383 	 Accuracy : 0.788922
Epoch : 6 	 Error : 0.15643 	 Accuracy : 0.791916
Epoch : 7 	 Error : 0.15397 	 Accuracy : 0.790419
Epoch : 8 	 Error : 0.15236 	 Accuracy : 0.793413
Epoch : 9 	 Error : 0.151247 	 Accuracy : 0.791916
Epoch : 10 	 Error : 0.150433 	 Accuracy : 0.791916
Epoch : 11 	 Error : 0.149807 	 Accuracy : 0.791916
Epoch : 12 	 Error : 0.149304 	 Accuracy : 0.791916
Epoch : 13 	 Error : 0.148885 	 Accuracy : 0.791916
Epoch : 14 	 Error : 0.148525 	 Accuracy : 0.793413
Epoch : 15 	 Error : 0.148211 	 Accuracy : 0.793413
Epoch : 16 	 Error : 0.14793 	 Accuracy : 0.793413
Epoch : 17 	 Error : 0.147676 	 Accuracy : 0.793413
Epoch : 18 	 Error : 0.147444 	 Accuracy : 0.793413
Epoch : 19 	 Error : 0.147231 	 Accuracy : 0.793413
Epoch : 20 	 Error : 0.147033 	 Accuracy : 0.793413
Epoch : 21 	 Error : 0.146849 	 Accuracy : 0.793413
Epoch : 22 	 Error : 0.146676 	 Accuracy : 0.793413
Epoch : 23 	 Error : 0.146514 	 Accuracy : 0.793413
Epoch : 24 	 Error : 0.146361 	 Accuracy : 0.793413
Epoch : 25 	 Error : 0.146216 	 Accuracy : 0.793413
Epoch : 26 	 Error : 0.146079 	 Accuracy : 0.793413
Epoch : 27 	 Error : 0.145949 	 Accuracy : 0.793413
Epoch : 28 	 Error : 0.145824 	 Accuracy : 0.79491
Epoch : 29 	 Error : 0.145706 	 Accuracy : 0.79491
Epoch : 30 	 Error : 0.145592 	 Accuracy : 0.79491
Epoch : 31 	 Error : 0.145483 	 Accuracy : 0.797904
Epoch : 32 	 Error : 0.145379 	 Accuracy : 0.799401
Epoch : 33 	 Error : 0.145279 	 Accuracy : 0.803892
Epoch : 34 	 Error : 0.145182 	 Accuracy : 0.803892
Epoch : 35 	 Error : 0.145089 	 Accuracy : 0.803892
Epoch : 36 	 Error : 0.144999 	 Accuracy : 0.803892
Epoch : 37 	 Error : 0.144913 	 Accuracy : 0.803892
Epoch : 38 	 Error : 0.144829 	 Accuracy : 0.803892
Epoch : 39 	 Error : 0.144748 	 Accuracy : 0.805389
Epoch : 40 	 Error : 0.144669 	 Accuracy : 0.806886
Epoch : 41 	 Error : 0.144593 	 Accuracy : 0.806886
Epoch : 42 	 Error : 0.14452 	 Accuracy : 0.806886
Epoch : 43 	 Error : 0.144448 	 Accuracy : 0.806886
Epoch : 44 	 Error : 0.144378 	 Accuracy : 0.806886
Epoch : 45 	 Error : 0.14431 	 Accuracy : 0.806886
Epoch : 46 	 Error : 0.144245 	 Accuracy : 0.808383
Epoch : 47 	 Error : 0.14418 	 Accuracy : 0.808383
Epoch : 48 	 Error : 0.144118 	 Accuracy : 0.808383
Epoch : 49 	 Error : 0.144057 	 Accuracy : 0.808383
Epoch : 50 	 Error : 0.143997 	 Accuracy : 0.808383
Epoch : 51 	 Error : 0.143939 	 Accuracy : 0.812874
Epoch : 52 	 Error : 0.143883 	 Accuracy : 0.812874
Epoch : 53 	 Error : 0.143827 	 Accuracy : 0.812874
Epoch : 54 	 Error : 0.143773 	 Accuracy : 0.812874
Epoch : 55 	 Error : 0.14372 	 Accuracy : 0.814371
Epoch : 56 	 Error : 0.143668 	 Accuracy : 0.814371
Epoch : 57 	 Error : 0.143617 	 Accuracy : 0.814371
Epoch : 58 	 Error : 0.143568 	 Accuracy : 0.814371
Epoch : 59 	 Error : 0.143519 	 Accuracy : 0.814371
Epoch : 60 	 Error : 0.143471 	 Accuracy : 0.814371
Epoch : 61 	 Error : 0.143425 	 Accuracy : 0.812874
Epoch : 62 	 Error : 0.143379 	 Accuracy : 0.812874
Epoch : 63 	 Error : 0.143334 	 Accuracy : 0.812874
Epoch : 64 	 Error : 0.143289 	 Accuracy : 0.812874
Epoch : 65 	 Error : 0.143246 	 Accuracy : 0.812874
Epoch : 66 	 Error : 0.143203 	 Accuracy : 0.812874
Epoch : 67 	 Error : 0.143162 	 Accuracy : 0.812874
Epoch : 68 	 Error : 0.14312 	 Accuracy : 0.812874
Epoch : 69 	 Error : 0.14308 	 Accuracy : 0.812874
Epoch : 70 	 Error : 0.14304 	 Accuracy : 0.812874
Epoch : 71 	 Error : 0.143001 	 Accuracy : 0.812874
Epoch : 72 	 Error : 0.142963 	 Accuracy : 0.812874
Epoch : 73 	 Error : 0.142925 	 Accuracy : 0.812874
Epoch : 74 	 Error : 0.142887 	 Accuracy : 0.812874
Epoch : 75 	 Error : 0.142851 	 Accuracy : 0.812874
Epoch : 76 	 Error : 0.142815 	 Accuracy : 0.812874
Epoch : 77 	 Error : 0.142779 	 Accuracy : 0.812874
Epoch : 78 	 Error : 0.142744 	 Accuracy : 0.812874
Epoch : 79 	 Error : 0.142709 	 Accuracy : 0.812874
Epoch : 80 	 Error : 0.142675 	 Accuracy : 0.812874
Epoch : 81 	 Error : 0.142642 	 Accuracy : 0.812874
Epoch : 82 	 Error : 0.142609 	 Accuracy : 0.812874
Epoch : 83 	 Error : 0.142576 	 Accuracy : 0.812874
Epoch : 84 	 Error : 0.142544 	 Accuracy : 0.812874
Epoch : 85 	 Error : 0.142512 	 Accuracy : 0.814371
Epoch : 86 	 Error : 0.142481 	 Accuracy : 0.814371
Epoch : 87 	 Error : 0.14245 	 Accuracy : 0.814371
Epoch : 88 	 Error : 0.142419 	 Accuracy : 0.814371
Epoch : 89 	 Error : 0.142389 	 Accuracy : 0.814371
Epoch : 90 	 Error : 0.142359 	 Accuracy : 0.814371
Epoch : 91 	 Error : 0.14233 	 Accuracy : 0.814371
