2024-03-19 20:58:17 : scalar : MinMaxScalar
2024-03-19 20:58:17 : train test split : 0.25
2024-03-19 20:58:17 : random state : 15
2024-03-19 20:58:17 : epochs : 1000
2024-03-19 20:58:17 : learning rate : 0.0001
2024-03-19 20:58:17 : activation function : relu
2024-03-19 20:58:17 : loss function : mean_squared_error
2024-03-19 20:58:17 : Optimizer : Adam

2024-03-19 20:58:17 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 3.908999 	 Accuracy : 0.758982
Epoch : 2 	 Error : 0.185296 	 Accuracy : 0.781437
Epoch : 3 	 Error : 0.162247 	 Accuracy : 0.77994
Epoch : 4 	 Error : 0.160949 	 Accuracy : 0.776946
Epoch : 5 	 Error : 0.162213 	 Accuracy : 0.776946
Epoch : 6 	 Error : 0.161773 	 Accuracy : 0.787425
Epoch : 7 	 Error : 0.15989 	 Accuracy : 0.787425
Epoch : 8 	 Error : 0.158003 	 Accuracy : 0.793413
Epoch : 9 	 Error : 0.156528 	 Accuracy : 0.797904
Epoch : 10 	 Error : 0.154825 	 Accuracy : 0.79491
Epoch : 11 	 Error : 0.150119 	 Accuracy : 0.80988
Epoch : 12 	 Error : 0.148487 	 Accuracy : 0.800898
Epoch : 13 	 Error : 0.148625 	 Accuracy : 0.814371
Epoch : 14 	 Error : 0.147755 	 Accuracy : 0.812874
Epoch : 15 	 Error : 0.147506 	 Accuracy : 0.802395
Epoch : 16 	 Error : 0.147297 	 Accuracy : 0.815868
Epoch : 17 	 Error : 0.145807 	 Accuracy : 0.815868
Epoch : 18 	 Error : 0.145011 	 Accuracy : 0.815868
Epoch : 19 	 Error : 0.144119 	 Accuracy : 0.803892
Epoch : 20 	 Error : 0.144196 	 Accuracy : 0.814371
Epoch : 21 	 Error : 0.144228 	 Accuracy : 0.812874
Epoch : 22 	 Error : 0.143483 	 Accuracy : 0.815868
Epoch : 23 	 Error : 0.142047 	 Accuracy : 0.815868
Epoch : 24 	 Error : 0.141102 	 Accuracy : 0.817365
Epoch : 25 	 Error : 0.14109 	 Accuracy : 0.814371
Epoch : 26 	 Error : 0.140282 	 Accuracy : 0.812874
Epoch : 27 	 Error : 0.140826 	 Accuracy : 0.815868
Epoch : 28 	 Error : 0.139722 	 Accuracy : 0.815868
Epoch : 29 	 Error : 0.139771 	 Accuracy : 0.814371
Epoch : 30 	 Error : 0.138523 	 Accuracy : 0.817365
