2024-03-19 20:36:54 : scalar : MinMaxScalar
2024-03-19 20:36:54 : train test split : 0.25
2024-03-19 20:36:54 : random state : 15
2024-03-19 20:36:54 : epochs : 1000
2024-03-19 20:36:54 : learning rate : 0.01
2024-03-19 20:36:54 : activation function : relu
2024-03-19 20:36:54 : loss function : mean_squared_error
2024-03-19 20:36:54 : Optimizer : AdaGrad

2024-03-19 20:36:54 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 27.354323 	 Accuracy : 0.368263
Epoch : 2 	 Error : 0.565 	 Accuracy : 0.679641
Epoch : 3 	 Error : 0.189375 	 Accuracy : 0.726048
Epoch : 4 	 Error : 0.180907 	 Accuracy : 0.724551
Epoch : 5 	 Error : 0.180055 	 Accuracy : 0.726048
Epoch : 6 	 Error : 0.179344 	 Accuracy : 0.729042
Epoch : 7 	 Error : 0.17865 	 Accuracy : 0.729042
Epoch : 8 	 Error : 0.177976 	 Accuracy : 0.729042
Epoch : 9 	 Error : 0.17732 	 Accuracy : 0.729042
Epoch : 10 	 Error : 0.176682 	 Accuracy : 0.729042
Epoch : 11 	 Error : 0.176061 	 Accuracy : 0.729042
Epoch : 12 	 Error : 0.175457 	 Accuracy : 0.729042
Epoch : 13 	 Error : 0.17487 	 Accuracy : 0.729042
Epoch : 14 	 Error : 0.174297 	 Accuracy : 0.729042
Epoch : 15 	 Error : 0.17374 	 Accuracy : 0.729042
Epoch : 16 	 Error : 0.173196 	 Accuracy : 0.729042
Epoch : 17 	 Error : 0.172667 	 Accuracy : 0.729042
Epoch : 18 	 Error : 0.172151 	 Accuracy : 0.730539
Epoch : 19 	 Error : 0.171648 	 Accuracy : 0.730539
Epoch : 20 	 Error : 0.171158 	 Accuracy : 0.730539
Epoch : 21 	 Error : 0.170679 	 Accuracy : 0.732036
Epoch : 22 	 Error : 0.170213 	 Accuracy : 0.733533
Epoch : 23 	 Error : 0.169758 	 Accuracy : 0.73503
Epoch : 24 	 Error : 0.169313 	 Accuracy : 0.73503
Epoch : 25 	 Error : 0.16888 	 Accuracy : 0.73503
Epoch : 26 	 Error : 0.168456 	 Accuracy : 0.739521
Epoch : 27 	 Error : 0.168043 	 Accuracy : 0.748503
Epoch : 28 	 Error : 0.167639 	 Accuracy : 0.752994
Epoch : 29 	 Error : 0.167244 	 Accuracy : 0.752994
Epoch : 30 	 Error : 0.166859 	 Accuracy : 0.752994
Epoch : 31 	 Error : 0.166483 	 Accuracy : 0.754491
Epoch : 32 	 Error : 0.166115 	 Accuracy : 0.755988
Epoch : 33 	 Error : 0.165755 	 Accuracy : 0.755988
Epoch : 34 	 Error : 0.165404 	 Accuracy : 0.763473
Epoch : 35 	 Error : 0.16506 	 Accuracy : 0.76497
Epoch : 36 	 Error : 0.164724 	 Accuracy : 0.770958
Epoch : 37 	 Error : 0.164395 	 Accuracy : 0.776946
Epoch : 38 	 Error : 0.164074 	 Accuracy : 0.784431
Epoch : 39 	 Error : 0.16376 	 Accuracy : 0.782934
Epoch : 40 	 Error : 0.163452 	 Accuracy : 0.784431
Epoch : 41 	 Error : 0.163151 	 Accuracy : 0.784431
Epoch : 42 	 Error : 0.162856 	 Accuracy : 0.784431
Epoch : 43 	 Error : 0.162568 	 Accuracy : 0.784431
Epoch : 44 	 Error : 0.162286 	 Accuracy : 0.784431
Epoch : 45 	 Error : 0.16201 	 Accuracy : 0.784431
Epoch : 46 	 Error : 0.161739 	 Accuracy : 0.784431
Epoch : 47 	 Error : 0.161474 	 Accuracy : 0.784431
Epoch : 48 	 Error : 0.161215 	 Accuracy : 0.782934
Epoch : 49 	 Error : 0.160961 	 Accuracy : 0.799401
Epoch : 50 	 Error : 0.160712 	 Accuracy : 0.797904
Epoch : 51 	 Error : 0.160468 	 Accuracy : 0.797904
Epoch : 52 	 Error : 0.16023 	 Accuracy : 0.796407
Epoch : 53 	 Error : 0.159996 	 Accuracy : 0.796407
Epoch : 54 	 Error : 0.159766 	 Accuracy : 0.796407
Epoch : 55 	 Error : 0.159542 	 Accuracy : 0.796407
Epoch : 56 	 Error : 0.159321 	 Accuracy : 0.796407
Epoch : 57 	 Error : 0.159105 	 Accuracy : 0.796407
Epoch : 58 	 Error : 0.158894 	 Accuracy : 0.796407
Epoch : 59 	 Error : 0.158686 	 Accuracy : 0.796407
Epoch : 60 	 Error : 0.158483 	 Accuracy : 0.796407
Epoch : 61 	 Error : 0.158283 	 Accuracy : 0.79491
Epoch : 62 	 Error : 0.158087 	 Accuracy : 0.79491
Epoch : 63 	 Error : 0.157896 	 Accuracy : 0.79491
Epoch : 64 	 Error : 0.157707 	 Accuracy : 0.79491
Epoch : 65 	 Error : 0.157523 	 Accuracy : 0.79491
Epoch : 66 	 Error : 0.157341 	 Accuracy : 0.79491
Epoch : 67 	 Error : 0.157163 	 Accuracy : 0.79491
Epoch : 68 	 Error : 0.156989 	 Accuracy : 0.79491
Epoch : 69 	 Error : 0.156818 	 Accuracy : 0.79491
Epoch : 70 	 Error : 0.15665 	 Accuracy : 0.799401
Epoch : 71 	 Error : 0.156485 	 Accuracy : 0.799401
Epoch : 72 	 Error : 0.156323 	 Accuracy : 0.800898
Epoch : 73 	 Error : 0.156164 	 Accuracy : 0.800898
Epoch : 74 	 Error : 0.156007 	 Accuracy : 0.802395
Epoch : 75 	 Error : 0.155854 	 Accuracy : 0.799401
Epoch : 76 	 Error : 0.155704 	 Accuracy : 0.800898
Epoch : 77 	 Error : 0.155556 	 Accuracy : 0.800898
Epoch : 78 	 Error : 0.155411 	 Accuracy : 0.802395
Epoch : 79 	 Error : 0.155268 	 Accuracy : 0.800898
Epoch : 80 	 Error : 0.155128 	 Accuracy : 0.800898
Epoch : 81 	 Error : 0.15499 	 Accuracy : 0.800898
Epoch : 82 	 Error : 0.154855 	 Accuracy : 0.800898
Epoch : 83 	 Error : 0.154722 	 Accuracy : 0.800898
Epoch : 84 	 Error : 0.154591 	 Accuracy : 0.799401
Epoch : 85 	 Error : 0.154463 	 Accuracy : 0.799401
Epoch : 86 	 Error : 0.154337 	 Accuracy : 0.796407
Epoch : 87 	 Error : 0.154213 	 Accuracy : 0.796407
Epoch : 88 	 Error : 0.154091 	 Accuracy : 0.796407
Epoch : 89 	 Error : 0.153971 	 Accuracy : 0.797904
Epoch : 90 	 Error : 0.153853 	 Accuracy : 0.797904
Epoch : 91 	 Error : 0.153737 	 Accuracy : 0.797904
