2024-03-19 20:55:19 : scalar : MinMaxScalar
2024-03-19 20:55:19 : train test split : 0.25
2024-03-19 20:55:19 : random state : 15
2024-03-19 20:55:19 : epochs : 1000
2024-03-19 20:55:19 : learning rate : 0.0001
2024-03-19 20:55:19 : activation function : tanh
2024-03-19 20:55:19 : loss function : mean_squared_error
2024-03-19 20:55:19 : Optimizer : Adam

2024-03-19 20:55:19 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.302543 	 Accuracy : 0.799401
Epoch : 2 	 Error : 0.155248 	 Accuracy : 0.800898
Epoch : 3 	 Error : 0.153748 	 Accuracy : 0.803892
Epoch : 4 	 Error : 0.15233 	 Accuracy : 0.803892
Epoch : 5 	 Error : 0.151231 	 Accuracy : 0.805389
Epoch : 6 	 Error : 0.149997 	 Accuracy : 0.812874
Epoch : 7 	 Error : 0.148331 	 Accuracy : 0.814371
Epoch : 8 	 Error : 0.14696 	 Accuracy : 0.815868
Epoch : 9 	 Error : 0.145824 	 Accuracy : 0.815868
Epoch : 10 	 Error : 0.145469 	 Accuracy : 0.815868
Epoch : 11 	 Error : 0.145086 	 Accuracy : 0.817365
Epoch : 12 	 Error : 0.144477 	 Accuracy : 0.815868
Epoch : 13 	 Error : 0.144172 	 Accuracy : 0.814371
Epoch : 14 	 Error : 0.144188 	 Accuracy : 0.815868
Epoch : 15 	 Error : 0.143989 	 Accuracy : 0.814371
Epoch : 16 	 Error : 0.143885 	 Accuracy : 0.815868
Epoch : 17 	 Error : 0.143278 	 Accuracy : 0.814371
Epoch : 18 	 Error : 0.143209 	 Accuracy : 0.814371
Epoch : 19 	 Error : 0.142713 	 Accuracy : 0.812874
Epoch : 20 	 Error : 0.142907 	 Accuracy : 0.814371
Epoch : 21 	 Error : 0.142953 	 Accuracy : 0.814371
Epoch : 22 	 Error : 0.141631 	 Accuracy : 0.814371
Epoch : 23 	 Error : 0.141362 	 Accuracy : 0.817365
Epoch : 24 	 Error : 0.141748 	 Accuracy : 0.817365
Epoch : 25 	 Error : 0.141933 	 Accuracy : 0.815868
Epoch : 26 	 Error : 0.140631 	 Accuracy : 0.815868
Epoch : 27 	 Error : 0.140394 	 Accuracy : 0.817365
Epoch : 28 	 Error : 0.140093 	 Accuracy : 0.815868
Epoch : 29 	 Error : 0.139697 	 Accuracy : 0.814371
Epoch : 30 	 Error : 0.139526 	 Accuracy : 0.814371
Epoch : 31 	 Error : 0.139397 	 Accuracy : 0.814371
Epoch : 32 	 Error : 0.138808 	 Accuracy : 0.811377
Epoch : 33 	 Error : 0.138865 	 Accuracy : 0.812874
Epoch : 34 	 Error : 0.139596 	 Accuracy : 0.815868
Epoch : 35 	 Error : 0.139495 	 Accuracy : 0.811377
Epoch : 36 	 Error : 0.137323 	 Accuracy : 0.812874
Epoch : 37 	 Error : 0.138349 	 Accuracy : 0.806886
Epoch : 38 	 Error : 0.139287 	 Accuracy : 0.812874
Epoch : 39 	 Error : 0.13812 	 Accuracy : 0.811377
Epoch : 40 	 Error : 0.137989 	 Accuracy : 0.812874
Epoch : 41 	 Error : 0.138273 	 Accuracy : 0.800898
Epoch : 42 	 Error : 0.138689 	 Accuracy : 0.797904
Epoch : 43 	 Error : 0.138563 	 Accuracy : 0.814371
Epoch : 44 	 Error : 0.137474 	 Accuracy : 0.812874
Epoch : 45 	 Error : 0.138231 	 Accuracy : 0.806886
Epoch : 46 	 Error : 0.138745 	 Accuracy : 0.79491
Epoch : 47 	 Error : 0.139022 	 Accuracy : 0.797904
Epoch : 48 	 Error : 0.139473 	 Accuracy : 0.806886
Epoch : 49 	 Error : 0.13891 	 Accuracy : 0.815868
Epoch : 50 	 Error : 0.136783 	 Accuracy : 0.808383
Epoch : 51 	 Error : 0.139125 	 Accuracy : 0.805389
Epoch : 52 	 Error : 0.139013 	 Accuracy : 0.803892
Epoch : 53 	 Error : 0.138901 	 Accuracy : 0.805389
Epoch : 54 	 Error : 0.138897 	 Accuracy : 0.811377
Epoch : 55 	 Error : 0.137699 	 Accuracy : 0.814371
Epoch : 56 	 Error : 0.137013 	 Accuracy : 0.811377
Epoch : 57 	 Error : 0.137382 	 Accuracy : 0.811377
Epoch : 58 	 Error : 0.137854 	 Accuracy : 0.80988
Epoch : 59 	 Error : 0.140149 	 Accuracy : 0.808383
Epoch : 60 	 Error : 0.140973 	 Accuracy : 0.80988
Epoch : 61 	 Error : 0.138534 	 Accuracy : 0.80988
Epoch : 62 	 Error : 0.139363 	 Accuracy : 0.806886
Epoch : 63 	 Error : 0.139287 	 Accuracy : 0.80988
Epoch : 64 	 Error : 0.139455 	 Accuracy : 0.80988
Epoch : 65 	 Error : 0.139094 	 Accuracy : 0.80988
Epoch : 66 	 Error : 0.13843 	 Accuracy : 0.80988
Epoch : 67 	 Error : 0.137943 	 Accuracy : 0.811377
Epoch : 68 	 Error : 0.138544 	 Accuracy : 0.812874
Epoch : 69 	 Error : 0.137461 	 Accuracy : 0.811377
Epoch : 70 	 Error : 0.136532 	 Accuracy : 0.811377
Epoch : 71 	 Error : 0.136071 	 Accuracy : 0.811377
Epoch : 72 	 Error : 0.135256 	 Accuracy : 0.812874
Epoch : 73 	 Error : 0.134642 	 Accuracy : 0.814371
Epoch : 74 	 Error : 0.13427 	 Accuracy : 0.814371
Epoch : 75 	 Error : 0.134047 	 Accuracy : 0.814371
Epoch : 76 	 Error : 0.133866 	 Accuracy : 0.812874
Epoch : 77 	 Error : 0.133788 	 Accuracy : 0.812874
Epoch : 78 	 Error : 0.133828 	 Accuracy : 0.812874
Epoch : 79 	 Error : 0.13379 	 Accuracy : 0.812874
Epoch : 80 	 Error : 0.133697 	 Accuracy : 0.812874
Epoch : 81 	 Error : 0.133623 	 Accuracy : 0.812874
Epoch : 82 	 Error : 0.133569 	 Accuracy : 0.812874
Epoch : 83 	 Error : 0.133576 	 Accuracy : 0.812874
Epoch : 84 	 Error : 0.133628 	 Accuracy : 0.812874
Epoch : 85 	 Error : 0.133584 	 Accuracy : 0.812874
Epoch : 86 	 Error : 0.133397 	 Accuracy : 0.815868
Epoch : 87 	 Error : 0.133584 	 Accuracy : 0.815868
Epoch : 88 	 Error : 0.133849 	 Accuracy : 0.814371
Epoch : 89 	 Error : 0.133653 	 Accuracy : 0.814371
Epoch : 90 	 Error : 0.133477 	 Accuracy : 0.814371
Epoch : 91 	 Error : 0.133192 	 Accuracy : 0.817365
Epoch : 92 	 Error : 0.133387 	 Accuracy : 0.815868
Epoch : 93 	 Error : 0.133499 	 Accuracy : 0.832335
Epoch : 94 	 Error : 0.133074 	 Accuracy : 0.823353
Epoch : 95 	 Error : 0.133181 	 Accuracy : 0.812874
Epoch : 96 	 Error : 0.133558 	 Accuracy : 0.80988
Epoch : 97 	 Error : 0.133976 	 Accuracy : 0.811377
Epoch : 98 	 Error : 0.133286 	 Accuracy : 0.820359
Epoch : 99 	 Error : 0.132439 	 Accuracy : 0.826347
Epoch : 100 	 Error : 0.131193 	 Accuracy : 0.836826
Epoch : 101 	 Error : 0.130159 	 Accuracy : 0.830838
Epoch : 102 	 Error : 0.129517 	 Accuracy : 0.836826
Epoch : 103 	 Error : 0.129337 	 Accuracy : 0.838323
Epoch : 104 	 Error : 0.128425 	 Accuracy : 0.836826
Epoch : 105 	 Error : 0.128034 	 Accuracy : 0.835329
Epoch : 106 	 Error : 0.127705 	 Accuracy : 0.827844
Epoch : 107 	 Error : 0.127321 	 Accuracy : 0.836826
Epoch : 108 	 Error : 0.128247 	 Accuracy : 0.832335
Epoch : 109 	 Error : 0.127789 	 Accuracy : 0.836826
Epoch : 110 	 Error : 0.123898 	 Accuracy : 0.835329
Epoch : 111 	 Error : 0.124916 	 Accuracy : 0.833832
Epoch : 112 	 Error : 0.123897 	 Accuracy : 0.830838
Epoch : 113 	 Error : 0.123969 	 Accuracy : 0.833832
Epoch : 114 	 Error : 0.125513 	 Accuracy : 0.836826
Epoch : 115 	 Error : 0.123122 	 Accuracy : 0.829341
Epoch : 116 	 Error : 0.122929 	 Accuracy : 0.832335
Epoch : 117 	 Error : 0.124076 	 Accuracy : 0.836826
Epoch : 118 	 Error : 0.126332 	 Accuracy : 0.83982
Epoch : 119 	 Error : 0.126573 	 Accuracy : 0.842814
Epoch : 120 	 Error : 0.12492 	 Accuracy : 0.848802
Epoch : 121 	 Error : 0.123205 	 Accuracy : 0.847305
Epoch : 122 	 Error : 0.122692 	 Accuracy : 0.847305
Epoch : 123 	 Error : 0.124197 	 Accuracy : 0.836826
Epoch : 124 	 Error : 0.124723 	 Accuracy : 0.845808
Epoch : 125 	 Error : 0.122446 	 Accuracy : 0.847305
Epoch : 126 	 Error : 0.12724 	 Accuracy : 0.835329
Epoch : 127 	 Error : 0.126491 	 Accuracy : 0.845808
Epoch : 128 	 Error : 0.123342 	 Accuracy : 0.850299
Epoch : 129 	 Error : 0.12468 	 Accuracy : 0.838323
Epoch : 130 	 Error : 0.122837 	 Accuracy : 0.847305
Epoch : 131 	 Error : 0.123219 	 Accuracy : 0.832335
Epoch : 132 	 Error : 0.124803 	 Accuracy : 0.842814
Epoch : 133 	 Error : 0.122006 	 Accuracy : 0.845808
Epoch : 134 	 Error : 0.122507 	 Accuracy : 0.853293
Epoch : 135 	 Error : 0.121534 	 Accuracy : 0.848802
Epoch : 136 	 Error : 0.121731 	 Accuracy : 0.851796
Epoch : 137 	 Error : 0.123585 	 Accuracy : 0.853293
Epoch : 138 	 Error : 0.121096 	 Accuracy : 0.844311
Epoch : 139 	 Error : 0.122422 	 Accuracy : 0.850299
Epoch : 140 	 Error : 0.120334 	 Accuracy : 0.842814
Epoch : 141 	 Error : 0.123846 	 Accuracy : 0.847305
Epoch : 142 	 Error : 0.122035 	 Accuracy : 0.836826
Epoch : 143 	 Error : 0.121169 	 Accuracy : 0.847305
Epoch : 144 	 Error : 0.121312 	 Accuracy : 0.841317
Epoch : 145 	 Error : 0.120177 	 Accuracy : 0.845808
Epoch : 146 	 Error : 0.121509 	 Accuracy : 0.847305
Epoch : 147 	 Error : 0.123064 	 Accuracy : 0.842814
Epoch : 148 	 Error : 0.120604 	 Accuracy : 0.845808
Epoch : 149 	 Error : 0.120374 	 Accuracy : 0.845808
Epoch : 150 	 Error : 0.12032 	 Accuracy : 0.836826
Epoch : 151 	 Error : 0.121383 	 Accuracy : 0.838323
Epoch : 152 	 Error : 0.11977 	 Accuracy : 0.845808
Epoch : 153 	 Error : 0.12047 	 Accuracy : 0.836826
Epoch : 154 	 Error : 0.121606 	 Accuracy : 0.845808
Epoch : 155 	 Error : 0.123861 	 Accuracy : 0.83982
Epoch : 156 	 Error : 0.123026 	 Accuracy : 0.844311
Epoch : 157 	 Error : 0.121446 	 Accuracy : 0.848802
Epoch : 158 	 Error : 0.118821 	 Accuracy : 0.844311
Epoch : 159 	 Error : 0.120686 	 Accuracy : 0.836826
Epoch : 160 	 Error : 0.120156 	 Accuracy : 0.845808
Epoch : 161 	 Error : 0.119954 	 Accuracy : 0.838323
Epoch : 162 	 Error : 0.121168 	 Accuracy : 0.845808
Epoch : 163 	 Error : 0.118608 	 Accuracy : 0.844311
Epoch : 164 	 Error : 0.121343 	 Accuracy : 0.845808
Epoch : 165 	 Error : 0.123827 	 Accuracy : 0.835329
Epoch : 166 	 Error : 0.122803 	 Accuracy : 0.842814
Epoch : 167 	 Error : 0.121695 	 Accuracy : 0.841317
Epoch : 168 	 Error : 0.121347 	 Accuracy : 0.83982
Epoch : 169 	 Error : 0.122523 	 Accuracy : 0.847305
Epoch : 170 	 Error : 0.120179 	 Accuracy : 0.844311
Epoch : 171 	 Error : 0.121658 	 Accuracy : 0.845808
Epoch : 172 	 Error : 0.122701 	 Accuracy : 0.850299
Epoch : 173 	 Error : 0.124039 	 Accuracy : 0.847305
Epoch : 174 	 Error : 0.120222 	 Accuracy : 0.844311
Epoch : 175 	 Error : 0.120204 	 Accuracy : 0.842814
Epoch : 176 	 Error : 0.121936 	 Accuracy : 0.845808
Epoch : 177 	 Error : 0.122207 	 Accuracy : 0.845808
Epoch : 178 	 Error : 0.121305 	 Accuracy : 0.845808
Epoch : 179 	 Error : 0.120415 	 Accuracy : 0.850299
Epoch : 180 	 Error : 0.121063 	 Accuracy : 0.847305
Epoch : 181 	 Error : 0.120972 	 Accuracy : 0.842814
Epoch : 182 	 Error : 0.119626 	 Accuracy : 0.850299
Epoch : 183 	 Error : 0.119475 	 Accuracy : 0.848802
Epoch : 184 	 Error : 0.120737 	 Accuracy : 0.848802
Epoch : 185 	 Error : 0.118021 	 Accuracy : 0.848802
Epoch : 186 	 Error : 0.118734 	 Accuracy : 0.847305
Epoch : 187 	 Error : 0.11908 	 Accuracy : 0.845808
Epoch : 188 	 Error : 0.120547 	 Accuracy : 0.845808
Epoch : 189 	 Error : 0.118214 	 Accuracy : 0.845808
Epoch : 190 	 Error : 0.117835 	 Accuracy : 0.850299
Epoch : 191 	 Error : 0.120289 	 Accuracy : 0.844311
Epoch : 192 	 Error : 0.121759 	 Accuracy : 0.847305
Epoch : 193 	 Error : 0.122171 	 Accuracy : 0.844311
Epoch : 194 	 Error : 0.120777 	 Accuracy : 0.847305
Epoch : 195 	 Error : 0.120574 	 Accuracy : 0.848802
Epoch : 196 	 Error : 0.117148 	 Accuracy : 0.844311
Epoch : 197 	 Error : 0.118604 	 Accuracy : 0.847305
Epoch : 198 	 Error : 0.116013 	 Accuracy : 0.850299
Epoch : 199 	 Error : 0.11558 	 Accuracy : 0.848802
Epoch : 200 	 Error : 0.117713 	 Accuracy : 0.847305
Epoch : 201 	 Error : 0.118565 	 Accuracy : 0.847305
Epoch : 202 	 Error : 0.119447 	 Accuracy : 0.845808
Epoch : 203 	 Error : 0.124939 	 Accuracy : 0.848802
Epoch : 204 	 Error : 0.120814 	 Accuracy : 0.847305
Epoch : 205 	 Error : 0.118633 	 Accuracy : 0.847305
Epoch : 206 	 Error : 0.11654 	 Accuracy : 0.850299
Epoch : 207 	 Error : 0.118162 	 Accuracy : 0.845808
Epoch : 208 	 Error : 0.116909 	 Accuracy : 0.845808
Epoch : 209 	 Error : 0.118115 	 Accuracy : 0.845808
Epoch : 210 	 Error : 0.118468 	 Accuracy : 0.844311
Epoch : 211 	 Error : 0.116221 	 Accuracy : 0.847305
Epoch : 212 	 Error : 0.118945 	 Accuracy : 0.848802
Epoch : 213 	 Error : 0.1179 	 Accuracy : 0.847305
Epoch : 214 	 Error : 0.119573 	 Accuracy : 0.847305
Epoch : 215 	 Error : 0.118693 	 Accuracy : 0.848802
Epoch : 216 	 Error : 0.116624 	 Accuracy : 0.847305
Epoch : 217 	 Error : 0.116924 	 Accuracy : 0.847305
Epoch : 218 	 Error : 0.118575 	 Accuracy : 0.847305
Epoch : 219 	 Error : 0.118259 	 Accuracy : 0.847305
Epoch : 220 	 Error : 0.115947 	 Accuracy : 0.847305
Epoch : 221 	 Error : 0.116854 	 Accuracy : 0.848802
Epoch : 222 	 Error : 0.117017 	 Accuracy : 0.847305
Epoch : 223 	 Error : 0.11863 	 Accuracy : 0.845808
Epoch : 224 	 Error : 0.117669 	 Accuracy : 0.850299
Epoch : 225 	 Error : 0.11775 	 Accuracy : 0.847305
Epoch : 226 	 Error : 0.116107 	 Accuracy : 0.847305
Epoch : 227 	 Error : 0.115713 	 Accuracy : 0.847305
Epoch : 228 	 Error : 0.120845 	 Accuracy : 0.851796
