2024-03-19 20:42:29 : scalar : MinMaxScalar
2024-03-19 20:42:29 : train test split : 0.25
2024-03-19 20:42:29 : random state : 15
2024-03-19 20:42:29 : epochs : 1000
2024-03-19 20:42:29 : learning rate : 0.001
2024-03-19 20:42:29 : activation function : sigmoid
2024-03-19 20:42:29 : loss function : mean_squared_error
2024-03-19 20:42:29 : Optimizer : Adam

2024-03-19 20:42:29 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.28311 	 Accuracy : 0.793413
Epoch : 2 	 Error : 0.156074 	 Accuracy : 0.799401
Epoch : 3 	 Error : 0.152078 	 Accuracy : 0.806886
Epoch : 4 	 Error : 0.150761 	 Accuracy : 0.808383
Epoch : 5 	 Error : 0.149879 	 Accuracy : 0.812874
Epoch : 6 	 Error : 0.14914 	 Accuracy : 0.811377
Epoch : 7 	 Error : 0.148379 	 Accuracy : 0.811377
Epoch : 8 	 Error : 0.147457 	 Accuracy : 0.808383
Epoch : 9 	 Error : 0.146368 	 Accuracy : 0.80988
Epoch : 10 	 Error : 0.145285 	 Accuracy : 0.806886
Epoch : 11 	 Error : 0.144315 	 Accuracy : 0.806886
Epoch : 12 	 Error : 0.143467 	 Accuracy : 0.808383
Epoch : 13 	 Error : 0.142733 	 Accuracy : 0.811377
Epoch : 14 	 Error : 0.1421 	 Accuracy : 0.815868
Epoch : 15 	 Error : 0.141548 	 Accuracy : 0.817365
Epoch : 16 	 Error : 0.141055 	 Accuracy : 0.815868
Epoch : 17 	 Error : 0.140601 	 Accuracy : 0.818862
Epoch : 18 	 Error : 0.140169 	 Accuracy : 0.823353
Epoch : 19 	 Error : 0.139746 	 Accuracy : 0.82485
Epoch : 20 	 Error : 0.139322 	 Accuracy : 0.823353
Epoch : 21 	 Error : 0.138894 	 Accuracy : 0.821856
Epoch : 22 	 Error : 0.138473 	 Accuracy : 0.823353
Epoch : 23 	 Error : 0.138063 	 Accuracy : 0.821856
Epoch : 24 	 Error : 0.137662 	 Accuracy : 0.821856
Epoch : 25 	 Error : 0.137273 	 Accuracy : 0.823353
Epoch : 26 	 Error : 0.136895 	 Accuracy : 0.823353
Epoch : 27 	 Error : 0.136531 	 Accuracy : 0.826347
Epoch : 28 	 Error : 0.136183 	 Accuracy : 0.827844
Epoch : 29 	 Error : 0.135851 	 Accuracy : 0.827844
Epoch : 30 	 Error : 0.135535 	 Accuracy : 0.827844
Epoch : 31 	 Error : 0.135232 	 Accuracy : 0.827844
Epoch : 32 	 Error : 0.13494 	 Accuracy : 0.829341
Epoch : 33 	 Error : 0.134653 	 Accuracy : 0.829341
Epoch : 34 	 Error : 0.134367 	 Accuracy : 0.829341
Epoch : 35 	 Error : 0.134084 	 Accuracy : 0.829341
Epoch : 36 	 Error : 0.13381 	 Accuracy : 0.829341
Epoch : 37 	 Error : 0.133547 	 Accuracy : 0.829341
Epoch : 38 	 Error : 0.133296 	 Accuracy : 0.832335
Epoch : 39 	 Error : 0.133055 	 Accuracy : 0.833832
Epoch : 40 	 Error : 0.13282 	 Accuracy : 0.835329
Epoch : 41 	 Error : 0.13259 	 Accuracy : 0.830838
Epoch : 42 	 Error : 0.132366 	 Accuracy : 0.830838
Epoch : 43 	 Error : 0.132151 	 Accuracy : 0.832335
Epoch : 44 	 Error : 0.131946 	 Accuracy : 0.832335
Epoch : 45 	 Error : 0.131755 	 Accuracy : 0.830838
Epoch : 46 	 Error : 0.131577 	 Accuracy : 0.830838
Epoch : 47 	 Error : 0.131411 	 Accuracy : 0.830838
Epoch : 48 	 Error : 0.131256 	 Accuracy : 0.830838
Epoch : 49 	 Error : 0.131107 	 Accuracy : 0.830838
Epoch : 50 	 Error : 0.130965 	 Accuracy : 0.830838
Epoch : 51 	 Error : 0.130826 	 Accuracy : 0.830838
Epoch : 52 	 Error : 0.13069 	 Accuracy : 0.830838
Epoch : 53 	 Error : 0.130555 	 Accuracy : 0.830838
Epoch : 54 	 Error : 0.13042 	 Accuracy : 0.830838
Epoch : 55 	 Error : 0.130285 	 Accuracy : 0.830838
Epoch : 56 	 Error : 0.130149 	 Accuracy : 0.830838
Epoch : 57 	 Error : 0.130012 	 Accuracy : 0.830838
Epoch : 58 	 Error : 0.129874 	 Accuracy : 0.830838
Epoch : 59 	 Error : 0.129735 	 Accuracy : 0.830838
Epoch : 60 	 Error : 0.129595 	 Accuracy : 0.830838
Epoch : 61 	 Error : 0.129455 	 Accuracy : 0.830838
Epoch : 62 	 Error : 0.129315 	 Accuracy : 0.830838
Epoch : 63 	 Error : 0.129177 	 Accuracy : 0.830838
Epoch : 64 	 Error : 0.129041 	 Accuracy : 0.830838
Epoch : 65 	 Error : 0.128907 	 Accuracy : 0.830838
Epoch : 66 	 Error : 0.128778 	 Accuracy : 0.829341
Epoch : 67 	 Error : 0.128652 	 Accuracy : 0.829341
Epoch : 68 	 Error : 0.128529 	 Accuracy : 0.830838
Epoch : 69 	 Error : 0.128411 	 Accuracy : 0.830838
Epoch : 70 	 Error : 0.128295 	 Accuracy : 0.832335
Epoch : 71 	 Error : 0.128183 	 Accuracy : 0.830838
Epoch : 72 	 Error : 0.128073 	 Accuracy : 0.830838
Epoch : 73 	 Error : 0.127966 	 Accuracy : 0.827844
Epoch : 74 	 Error : 0.127861 	 Accuracy : 0.827844
Epoch : 75 	 Error : 0.127759 	 Accuracy : 0.827844
Epoch : 76 	 Error : 0.127658 	 Accuracy : 0.826347
Epoch : 77 	 Error : 0.12756 	 Accuracy : 0.827844
Epoch : 78 	 Error : 0.127463 	 Accuracy : 0.827844
Epoch : 79 	 Error : 0.127368 	 Accuracy : 0.827844
Epoch : 80 	 Error : 0.127276 	 Accuracy : 0.827844
Epoch : 81 	 Error : 0.127185 	 Accuracy : 0.827844
Epoch : 82 	 Error : 0.127096 	 Accuracy : 0.827844
Epoch : 83 	 Error : 0.12701 	 Accuracy : 0.827844
Epoch : 84 	 Error : 0.126925 	 Accuracy : 0.827844
Epoch : 85 	 Error : 0.126842 	 Accuracy : 0.827844
Epoch : 86 	 Error : 0.12676 	 Accuracy : 0.827844
Epoch : 87 	 Error : 0.126681 	 Accuracy : 0.829341
Epoch : 88 	 Error : 0.126603 	 Accuracy : 0.829341
Epoch : 89 	 Error : 0.126528 	 Accuracy : 0.830838
Epoch : 90 	 Error : 0.126453 	 Accuracy : 0.832335
Epoch : 91 	 Error : 0.126381 	 Accuracy : 0.832335
Epoch : 92 	 Error : 0.12631 	 Accuracy : 0.832335
Epoch : 93 	 Error : 0.12624 	 Accuracy : 0.832335
Epoch : 94 	 Error : 0.126172 	 Accuracy : 0.832335
Epoch : 95 	 Error : 0.126105 	 Accuracy : 0.832335
Epoch : 96 	 Error : 0.126039 	 Accuracy : 0.832335
Epoch : 97 	 Error : 0.125975 	 Accuracy : 0.832335
Epoch : 98 	 Error : 0.125912 	 Accuracy : 0.832335
Epoch : 99 	 Error : 0.12585 	 Accuracy : 0.832335
Epoch : 100 	 Error : 0.12579 	 Accuracy : 0.832335
Epoch : 101 	 Error : 0.12573 	 Accuracy : 0.832335
Epoch : 102 	 Error : 0.125671 	 Accuracy : 0.832335
Epoch : 103 	 Error : 0.125613 	 Accuracy : 0.832335
Epoch : 104 	 Error : 0.125555 	 Accuracy : 0.832335
Epoch : 105 	 Error : 0.125498 	 Accuracy : 0.832335
Epoch : 106 	 Error : 0.12544 	 Accuracy : 0.832335
Epoch : 107 	 Error : 0.12538 	 Accuracy : 0.832335
Epoch : 108 	 Error : 0.125318 	 Accuracy : 0.832335
Epoch : 109 	 Error : 0.125254 	 Accuracy : 0.832335
Epoch : 110 	 Error : 0.125188 	 Accuracy : 0.832335
