2024-03-19 20:30:25 : scalar : MinMaxScalar
2024-03-19 20:30:25 : train test split : 0.25
2024-03-19 20:30:25 : random state : 15
2024-03-19 20:30:25 : epochs : 1000
2024-03-19 20:30:25 : learning rate : 0.01
2024-03-19 20:30:25 : activation function : sigmoid
2024-03-19 20:30:25 : loss function : mean_squared_error
2024-03-19 20:30:25 : Optimizer : SGDMomentum

2024-03-19 20:30:25 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.339803 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.316584 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.302999 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.288518 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.27316 	 Accuracy : 0.368263
Epoch : 6 	 Error : 0.262338 	 Accuracy : 0.368263
Epoch : 7 	 Error : 0.24555 	 Accuracy : 0.748503
Epoch : 8 	 Error : 0.201104 	 Accuracy : 0.796407
Epoch : 9 	 Error : 0.176653 	 Accuracy : 0.782934
Epoch : 10 	 Error : 0.169715 	 Accuracy : 0.790419
Epoch : 11 	 Error : 0.165252 	 Accuracy : 0.791916
Epoch : 12 	 Error : 0.163038 	 Accuracy : 0.791916
Epoch : 13 	 Error : 0.161873 	 Accuracy : 0.796407
Epoch : 14 	 Error : 0.161091 	 Accuracy : 0.796407
Epoch : 15 	 Error : 0.160489 	 Accuracy : 0.796407
Epoch : 16 	 Error : 0.159989 	 Accuracy : 0.796407
Epoch : 17 	 Error : 0.159556 	 Accuracy : 0.796407
Epoch : 18 	 Error : 0.159171 	 Accuracy : 0.796407
Epoch : 19 	 Error : 0.158823 	 Accuracy : 0.796407
Epoch : 20 	 Error : 0.158506 	 Accuracy : 0.796407
Epoch : 21 	 Error : 0.158215 	 Accuracy : 0.796407
Epoch : 22 	 Error : 0.157947 	 Accuracy : 0.796407
Epoch : 23 	 Error : 0.1577 	 Accuracy : 0.79491
Epoch : 24 	 Error : 0.15747 	 Accuracy : 0.79491
Epoch : 25 	 Error : 0.157257 	 Accuracy : 0.79491
Epoch : 26 	 Error : 0.157058 	 Accuracy : 0.79491
Epoch : 27 	 Error : 0.156872 	 Accuracy : 0.796407
Epoch : 28 	 Error : 0.156697 	 Accuracy : 0.797904
Epoch : 29 	 Error : 0.156533 	 Accuracy : 0.797904
Epoch : 30 	 Error : 0.156378 	 Accuracy : 0.797904
Epoch : 31 	 Error : 0.156232 	 Accuracy : 0.797904
Epoch : 32 	 Error : 0.156093 	 Accuracy : 0.799401
Epoch : 33 	 Error : 0.155961 	 Accuracy : 0.799401
Epoch : 34 	 Error : 0.155836 	 Accuracy : 0.799401
Epoch : 35 	 Error : 0.155716 	 Accuracy : 0.797904
Epoch : 36 	 Error : 0.155602 	 Accuracy : 0.797904
Epoch : 37 	 Error : 0.155493 	 Accuracy : 0.797904
Epoch : 38 	 Error : 0.155389 	 Accuracy : 0.797904
Epoch : 39 	 Error : 0.155288 	 Accuracy : 0.797904
Epoch : 40 	 Error : 0.155192 	 Accuracy : 0.797904
Epoch : 41 	 Error : 0.155099 	 Accuracy : 0.797904
Epoch : 42 	 Error : 0.15501 	 Accuracy : 0.796407
Epoch : 43 	 Error : 0.154923 	 Accuracy : 0.79491
Epoch : 44 	 Error : 0.15484 	 Accuracy : 0.793413
Epoch : 45 	 Error : 0.154759 	 Accuracy : 0.79491
Epoch : 46 	 Error : 0.154681 	 Accuracy : 0.79491
Epoch : 47 	 Error : 0.154605 	 Accuracy : 0.79491
Epoch : 48 	 Error : 0.154531 	 Accuracy : 0.793413
Epoch : 49 	 Error : 0.154459 	 Accuracy : 0.79491
Epoch : 50 	 Error : 0.154389 	 Accuracy : 0.796407
Epoch : 51 	 Error : 0.154321 	 Accuracy : 0.79491
Epoch : 52 	 Error : 0.154255 	 Accuracy : 0.79491
Epoch : 53 	 Error : 0.15419 	 Accuracy : 0.793413
Epoch : 54 	 Error : 0.154126 	 Accuracy : 0.79491
Epoch : 55 	 Error : 0.154064 	 Accuracy : 0.793413
Epoch : 56 	 Error : 0.154003 	 Accuracy : 0.788922
Epoch : 57 	 Error : 0.153943 	 Accuracy : 0.788922
Epoch : 58 	 Error : 0.153884 	 Accuracy : 0.788922
Epoch : 59 	 Error : 0.153827 	 Accuracy : 0.788922
Epoch : 60 	 Error : 0.15377 	 Accuracy : 0.788922
Epoch : 61 	 Error : 0.153714 	 Accuracy : 0.788922
Epoch : 62 	 Error : 0.153659 	 Accuracy : 0.790419
Epoch : 63 	 Error : 0.153604 	 Accuracy : 0.790419
Epoch : 64 	 Error : 0.15355 	 Accuracy : 0.790419
Epoch : 65 	 Error : 0.153497 	 Accuracy : 0.788922
Epoch : 66 	 Error : 0.153444 	 Accuracy : 0.788922
Epoch : 67 	 Error : 0.153392 	 Accuracy : 0.791916
Epoch : 68 	 Error : 0.15334 	 Accuracy : 0.791916
Epoch : 69 	 Error : 0.153289 	 Accuracy : 0.791916
Epoch : 70 	 Error : 0.153238 	 Accuracy : 0.791916
Epoch : 71 	 Error : 0.153188 	 Accuracy : 0.791916
Epoch : 72 	 Error : 0.153137 	 Accuracy : 0.791916
Epoch : 73 	 Error : 0.153087 	 Accuracy : 0.791916
Epoch : 74 	 Error : 0.153038 	 Accuracy : 0.791916
Epoch : 75 	 Error : 0.152988 	 Accuracy : 0.791916
Epoch : 76 	 Error : 0.152939 	 Accuracy : 0.791916
Epoch : 77 	 Error : 0.152889 	 Accuracy : 0.791916
Epoch : 78 	 Error : 0.15284 	 Accuracy : 0.790419
Epoch : 79 	 Error : 0.152791 	 Accuracy : 0.790419
Epoch : 80 	 Error : 0.152742 	 Accuracy : 0.790419
Epoch : 81 	 Error : 0.152694 	 Accuracy : 0.791916
Epoch : 82 	 Error : 0.152645 	 Accuracy : 0.791916
Epoch : 83 	 Error : 0.152596 	 Accuracy : 0.793413
Epoch : 84 	 Error : 0.152548 	 Accuracy : 0.793413
Epoch : 85 	 Error : 0.152499 	 Accuracy : 0.793413
Epoch : 86 	 Error : 0.152451 	 Accuracy : 0.793413
Epoch : 87 	 Error : 0.152402 	 Accuracy : 0.793413
Epoch : 88 	 Error : 0.152354 	 Accuracy : 0.793413
Epoch : 89 	 Error : 0.152305 	 Accuracy : 0.79491
Epoch : 90 	 Error : 0.152257 	 Accuracy : 0.79491
Epoch : 91 	 Error : 0.152208 	 Accuracy : 0.797904
Epoch : 92 	 Error : 0.15216 	 Accuracy : 0.797904
Epoch : 93 	 Error : 0.152111 	 Accuracy : 0.797904
Epoch : 94 	 Error : 0.152063 	 Accuracy : 0.797904
Epoch : 95 	 Error : 0.152014 	 Accuracy : 0.797904
Epoch : 96 	 Error : 0.151966 	 Accuracy : 0.797904
Epoch : 97 	 Error : 0.151917 	 Accuracy : 0.797904
Epoch : 98 	 Error : 0.151869 	 Accuracy : 0.797904
Epoch : 99 	 Error : 0.15182 	 Accuracy : 0.797904
Epoch : 100 	 Error : 0.151771 	 Accuracy : 0.797904
Epoch : 101 	 Error : 0.151723 	 Accuracy : 0.796407
Epoch : 102 	 Error : 0.151674 	 Accuracy : 0.796407
Epoch : 103 	 Error : 0.151625 	 Accuracy : 0.796407
Epoch : 104 	 Error : 0.151576 	 Accuracy : 0.796407
Epoch : 105 	 Error : 0.151527 	 Accuracy : 0.79491
Epoch : 106 	 Error : 0.151477 	 Accuracy : 0.796407
Epoch : 107 	 Error : 0.151428 	 Accuracy : 0.79491
Epoch : 108 	 Error : 0.151378 	 Accuracy : 0.79491
Epoch : 109 	 Error : 0.151329 	 Accuracy : 0.79491
Epoch : 110 	 Error : 0.151279 	 Accuracy : 0.79491
Epoch : 111 	 Error : 0.151228 	 Accuracy : 0.79491
Epoch : 112 	 Error : 0.151178 	 Accuracy : 0.79491
Epoch : 113 	 Error : 0.151127 	 Accuracy : 0.796407
Epoch : 114 	 Error : 0.151076 	 Accuracy : 0.796407
Epoch : 115 	 Error : 0.151025 	 Accuracy : 0.796407
Epoch : 116 	 Error : 0.150973 	 Accuracy : 0.796407
Epoch : 117 	 Error : 0.150921 	 Accuracy : 0.797904
Epoch : 118 	 Error : 0.150869 	 Accuracy : 0.797904
Epoch : 119 	 Error : 0.150816 	 Accuracy : 0.797904
Epoch : 120 	 Error : 0.150763 	 Accuracy : 0.797904
Epoch : 121 	 Error : 0.15071 	 Accuracy : 0.800898
Epoch : 122 	 Error : 0.150656 	 Accuracy : 0.802395
Epoch : 123 	 Error : 0.150602 	 Accuracy : 0.800898
Epoch : 124 	 Error : 0.150548 	 Accuracy : 0.805389
