2024-03-19 20:51:31 : scalar : MinMaxScalar
2024-03-19 20:51:31 : train test split : 0.25
2024-03-19 20:51:31 : random state : 15
2024-03-19 20:51:31 : epochs : 1000
2024-03-19 20:51:31 : learning rate : 0.0001
2024-03-19 20:51:31 : activation function : sigmoid
2024-03-19 20:51:31 : loss function : mean_squared_error
2024-03-19 20:51:31 : Optimizer : AdaGrad

2024-03-19 20:51:31 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 2.745083 	 Accuracy : 0.368263
Epoch : 2 	 Error : 0.510027 	 Accuracy : 0.368263
Epoch : 3 	 Error : 0.296977 	 Accuracy : 0.368263
Epoch : 4 	 Error : 0.247933 	 Accuracy : 0.72006
Epoch : 5 	 Error : 0.232538 	 Accuracy : 0.655689
Epoch : 6 	 Error : 0.226847 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.224427 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.223208 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.222452 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.221877 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.221372 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.220891 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.220415 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.219935 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.219449 	 Accuracy : 0.631737
Epoch : 16 	 Error : 0.218955 	 Accuracy : 0.631737
Epoch : 17 	 Error : 0.218451 	 Accuracy : 0.631737
Epoch : 18 	 Error : 0.217938 	 Accuracy : 0.631737
Epoch : 19 	 Error : 0.217415 	 Accuracy : 0.631737
Epoch : 20 	 Error : 0.216883 	 Accuracy : 0.631737
Epoch : 21 	 Error : 0.216341 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.215789 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.215228 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.214657 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.214077 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.213488 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.21289 	 Accuracy : 0.633234
Epoch : 28 	 Error : 0.212283 	 Accuracy : 0.633234
Epoch : 29 	 Error : 0.211668 	 Accuracy : 0.633234
Epoch : 30 	 Error : 0.211044 	 Accuracy : 0.634731
Epoch : 31 	 Error : 0.210412 	 Accuracy : 0.639222
Epoch : 32 	 Error : 0.209773 	 Accuracy : 0.649701
Epoch : 33 	 Error : 0.209126 	 Accuracy : 0.657186
Epoch : 34 	 Error : 0.208472 	 Accuracy : 0.661677
Epoch : 35 	 Error : 0.207812 	 Accuracy : 0.666168
Epoch : 36 	 Error : 0.207145 	 Accuracy : 0.669162
Epoch : 37 	 Error : 0.206472 	 Accuracy : 0.670659
Epoch : 38 	 Error : 0.205793 	 Accuracy : 0.673653
Epoch : 39 	 Error : 0.205109 	 Accuracy : 0.673653
Epoch : 40 	 Error : 0.204419 	 Accuracy : 0.673653
Epoch : 41 	 Error : 0.203725 	 Accuracy : 0.67515
Epoch : 42 	 Error : 0.203027 	 Accuracy : 0.67515
Epoch : 43 	 Error : 0.202324 	 Accuracy : 0.676647
Epoch : 44 	 Error : 0.201618 	 Accuracy : 0.681138
Epoch : 45 	 Error : 0.200908 	 Accuracy : 0.688623
Epoch : 46 	 Error : 0.200195 	 Accuracy : 0.696108
Epoch : 47 	 Error : 0.19948 	 Accuracy : 0.700599
Epoch : 48 	 Error : 0.198762 	 Accuracy : 0.70509
Epoch : 49 	 Error : 0.198042 	 Accuracy : 0.717066
Epoch : 50 	 Error : 0.19732 	 Accuracy : 0.723054
Epoch : 51 	 Error : 0.196597 	 Accuracy : 0.726048
Epoch : 52 	 Error : 0.195873 	 Accuracy : 0.727545
Epoch : 53 	 Error : 0.195147 	 Accuracy : 0.729042
Epoch : 54 	 Error : 0.194421 	 Accuracy : 0.729042
Epoch : 55 	 Error : 0.193695 	 Accuracy : 0.730539
Epoch : 56 	 Error : 0.192969 	 Accuracy : 0.730539
Epoch : 57 	 Error : 0.192244 	 Accuracy : 0.732036
Epoch : 58 	 Error : 0.191519 	 Accuracy : 0.733533
Epoch : 59 	 Error : 0.190795 	 Accuracy : 0.733533
Epoch : 60 	 Error : 0.190072 	 Accuracy : 0.733533
Epoch : 61 	 Error : 0.18935 	 Accuracy : 0.733533
Epoch : 62 	 Error : 0.188631 	 Accuracy : 0.733533
Epoch : 63 	 Error : 0.187914 	 Accuracy : 0.73503
Epoch : 64 	 Error : 0.187198 	 Accuracy : 0.736527
Epoch : 65 	 Error : 0.186486 	 Accuracy : 0.742515
Epoch : 66 	 Error : 0.185777 	 Accuracy : 0.755988
Epoch : 67 	 Error : 0.18507 	 Accuracy : 0.763473
Epoch : 68 	 Error : 0.184367 	 Accuracy : 0.782934
Epoch : 69 	 Error : 0.183668 	 Accuracy : 0.782934
Epoch : 70 	 Error : 0.182973 	 Accuracy : 0.782934
Epoch : 71 	 Error : 0.182283 	 Accuracy : 0.782934
Epoch : 72 	 Error : 0.181596 	 Accuracy : 0.782934
Epoch : 73 	 Error : 0.180915 	 Accuracy : 0.782934
Epoch : 74 	 Error : 0.180238 	 Accuracy : 0.782934
Epoch : 75 	 Error : 0.179567 	 Accuracy : 0.782934
Epoch : 76 	 Error : 0.178902 	 Accuracy : 0.782934
Epoch : 77 	 Error : 0.178242 	 Accuracy : 0.785928
Epoch : 78 	 Error : 0.177588 	 Accuracy : 0.785928
Epoch : 79 	 Error : 0.17694 	 Accuracy : 0.787425
Epoch : 80 	 Error : 0.176298 	 Accuracy : 0.787425
Epoch : 81 	 Error : 0.175663 	 Accuracy : 0.787425
Epoch : 82 	 Error : 0.175035 	 Accuracy : 0.784431
Epoch : 83 	 Error : 0.174414 	 Accuracy : 0.785928
Epoch : 84 	 Error : 0.1738 	 Accuracy : 0.784431
Epoch : 85 	 Error : 0.173194 	 Accuracy : 0.784431
Epoch : 86 	 Error : 0.172595 	 Accuracy : 0.782934
Epoch : 87 	 Error : 0.172003 	 Accuracy : 0.784431
Epoch : 88 	 Error : 0.171419 	 Accuracy : 0.785928
Epoch : 89 	 Error : 0.170843 	 Accuracy : 0.785928
Epoch : 90 	 Error : 0.170275 	 Accuracy : 0.787425
