2024-03-19 20:50:40 : scalar : MinMaxScalar
2024-03-19 20:50:40 : train test split : 0.25
2024-03-19 20:50:40 : random state : 15
2024-03-19 20:50:40 : epochs : 1000
2024-03-19 20:50:40 : learning rate : 0.0001
2024-03-19 20:50:40 : activation function : sigmoid
2024-03-19 20:50:40 : loss function : mean_squared_error
2024-03-19 20:50:40 : Optimizer : SGDMomentum

2024-03-19 20:50:40 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.346978 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.284197 	 Accuracy : 0.389222
Epoch : 3 	 Error : 0.248444 	 Accuracy : 0.447605
Epoch : 4 	 Error : 0.207511 	 Accuracy : 0.782934
Epoch : 5 	 Error : 0.181167 	 Accuracy : 0.778443
Epoch : 6 	 Error : 0.174184 	 Accuracy : 0.767964
Epoch : 7 	 Error : 0.170741 	 Accuracy : 0.760479
Epoch : 8 	 Error : 0.168339 	 Accuracy : 0.757485
Epoch : 9 	 Error : 0.166446 	 Accuracy : 0.776946
Epoch : 10 	 Error : 0.164838 	 Accuracy : 0.77994
Epoch : 11 	 Error : 0.163419 	 Accuracy : 0.781437
Epoch : 12 	 Error : 0.162168 	 Accuracy : 0.782934
Epoch : 13 	 Error : 0.161107 	 Accuracy : 0.790419
Epoch : 14 	 Error : 0.160252 	 Accuracy : 0.799401
Epoch : 15 	 Error : 0.159578 	 Accuracy : 0.79491
Epoch : 16 	 Error : 0.159041 	 Accuracy : 0.796407
Epoch : 17 	 Error : 0.158599 	 Accuracy : 0.796407
Epoch : 18 	 Error : 0.158225 	 Accuracy : 0.796407
Epoch : 19 	 Error : 0.157901 	 Accuracy : 0.796407
Epoch : 20 	 Error : 0.157613 	 Accuracy : 0.796407
Epoch : 21 	 Error : 0.157355 	 Accuracy : 0.796407
Epoch : 22 	 Error : 0.15712 	 Accuracy : 0.796407
Epoch : 23 	 Error : 0.156904 	 Accuracy : 0.796407
Epoch : 24 	 Error : 0.156704 	 Accuracy : 0.796407
Epoch : 25 	 Error : 0.156518 	 Accuracy : 0.797904
Epoch : 26 	 Error : 0.156343 	 Accuracy : 0.797904
Epoch : 27 	 Error : 0.156179 	 Accuracy : 0.797904
Epoch : 28 	 Error : 0.156023 	 Accuracy : 0.797904
Epoch : 29 	 Error : 0.155875 	 Accuracy : 0.797904
Epoch : 30 	 Error : 0.155735 	 Accuracy : 0.797904
Epoch : 31 	 Error : 0.155601 	 Accuracy : 0.797904
Epoch : 32 	 Error : 0.155472 	 Accuracy : 0.797904
Epoch : 33 	 Error : 0.155349 	 Accuracy : 0.797904
Epoch : 34 	 Error : 0.155231 	 Accuracy : 0.797904
Epoch : 35 	 Error : 0.155118 	 Accuracy : 0.797904
Epoch : 36 	 Error : 0.155008 	 Accuracy : 0.799401
Epoch : 37 	 Error : 0.154903 	 Accuracy : 0.799401
Epoch : 38 	 Error : 0.154801 	 Accuracy : 0.797904
Epoch : 39 	 Error : 0.154702 	 Accuracy : 0.797904
Epoch : 40 	 Error : 0.154606 	 Accuracy : 0.797904
Epoch : 41 	 Error : 0.154513 	 Accuracy : 0.796407
Epoch : 42 	 Error : 0.154423 	 Accuracy : 0.796407
Epoch : 43 	 Error : 0.154335 	 Accuracy : 0.796407
Epoch : 44 	 Error : 0.15425 	 Accuracy : 0.797904
Epoch : 45 	 Error : 0.154166 	 Accuracy : 0.797904
Epoch : 46 	 Error : 0.154085 	 Accuracy : 0.797904
Epoch : 47 	 Error : 0.154005 	 Accuracy : 0.796407
Epoch : 48 	 Error : 0.153927 	 Accuracy : 0.796407
Epoch : 49 	 Error : 0.153851 	 Accuracy : 0.79491
Epoch : 50 	 Error : 0.153776 	 Accuracy : 0.79491
Epoch : 51 	 Error : 0.153702 	 Accuracy : 0.79491
Epoch : 52 	 Error : 0.15363 	 Accuracy : 0.793413
Epoch : 53 	 Error : 0.153558 	 Accuracy : 0.793413
Epoch : 54 	 Error : 0.153488 	 Accuracy : 0.793413
Epoch : 55 	 Error : 0.153419 	 Accuracy : 0.793413
Epoch : 56 	 Error : 0.15335 	 Accuracy : 0.79491
Epoch : 57 	 Error : 0.153282 	 Accuracy : 0.79491
Epoch : 58 	 Error : 0.153214 	 Accuracy : 0.793413
Epoch : 59 	 Error : 0.153148 	 Accuracy : 0.793413
Epoch : 60 	 Error : 0.153081 	 Accuracy : 0.793413
Epoch : 61 	 Error : 0.153015 	 Accuracy : 0.793413
Epoch : 62 	 Error : 0.152949 	 Accuracy : 0.791916
Epoch : 63 	 Error : 0.152883 	 Accuracy : 0.790419
Epoch : 64 	 Error : 0.152818 	 Accuracy : 0.790419
Epoch : 65 	 Error : 0.152752 	 Accuracy : 0.791916
Epoch : 66 	 Error : 0.152687 	 Accuracy : 0.791916
Epoch : 67 	 Error : 0.152622 	 Accuracy : 0.791916
Epoch : 68 	 Error : 0.152556 	 Accuracy : 0.791916
Epoch : 69 	 Error : 0.152491 	 Accuracy : 0.791916
Epoch : 70 	 Error : 0.152425 	 Accuracy : 0.791916
Epoch : 71 	 Error : 0.15236 	 Accuracy : 0.791916
Epoch : 72 	 Error : 0.152294 	 Accuracy : 0.791916
Epoch : 73 	 Error : 0.152229 	 Accuracy : 0.791916
Epoch : 74 	 Error : 0.152163 	 Accuracy : 0.791916
Epoch : 75 	 Error : 0.152098 	 Accuracy : 0.791916
Epoch : 76 	 Error : 0.152033 	 Accuracy : 0.793413
Epoch : 77 	 Error : 0.151968 	 Accuracy : 0.793413
Epoch : 78 	 Error : 0.151903 	 Accuracy : 0.79491
Epoch : 79 	 Error : 0.151839 	 Accuracy : 0.793413
Epoch : 80 	 Error : 0.151775 	 Accuracy : 0.793413
Epoch : 81 	 Error : 0.151711 	 Accuracy : 0.793413
Epoch : 82 	 Error : 0.151649 	 Accuracy : 0.79491
Epoch : 83 	 Error : 0.151586 	 Accuracy : 0.79491
Epoch : 84 	 Error : 0.151525 	 Accuracy : 0.79491
Epoch : 85 	 Error : 0.151465 	 Accuracy : 0.79491
Epoch : 86 	 Error : 0.151405 	 Accuracy : 0.79491
Epoch : 87 	 Error : 0.151346 	 Accuracy : 0.79491
Epoch : 88 	 Error : 0.151288 	 Accuracy : 0.79491
Epoch : 89 	 Error : 0.151231 	 Accuracy : 0.79491
Epoch : 90 	 Error : 0.151175 	 Accuracy : 0.79491
Epoch : 91 	 Error : 0.15112 	 Accuracy : 0.79491
Epoch : 92 	 Error : 0.151066 	 Accuracy : 0.79491
Epoch : 93 	 Error : 0.151012 	 Accuracy : 0.793413
Epoch : 94 	 Error : 0.15096 	 Accuracy : 0.793413
Epoch : 95 	 Error : 0.150908 	 Accuracy : 0.790419
Epoch : 96 	 Error : 0.150858 	 Accuracy : 0.788922
Epoch : 97 	 Error : 0.150808 	 Accuracy : 0.788922
Epoch : 98 	 Error : 0.150759 	 Accuracy : 0.787425
Epoch : 99 	 Error : 0.15071 	 Accuracy : 0.787425
Epoch : 100 	 Error : 0.150663 	 Accuracy : 0.787425
Epoch : 101 	 Error : 0.150616 	 Accuracy : 0.787425
Epoch : 102 	 Error : 0.15057 	 Accuracy : 0.787425
Epoch : 103 	 Error : 0.150524 	 Accuracy : 0.787425
Epoch : 104 	 Error : 0.150479 	 Accuracy : 0.787425
Epoch : 105 	 Error : 0.150435 	 Accuracy : 0.787425
Epoch : 106 	 Error : 0.150391 	 Accuracy : 0.787425
Epoch : 107 	 Error : 0.150348 	 Accuracy : 0.788922
Epoch : 108 	 Error : 0.150305 	 Accuracy : 0.788922
Epoch : 109 	 Error : 0.150263 	 Accuracy : 0.788922
Epoch : 110 	 Error : 0.150221 	 Accuracy : 0.788922
Epoch : 111 	 Error : 0.15018 	 Accuracy : 0.790419
Epoch : 112 	 Error : 0.150139 	 Accuracy : 0.790419
Epoch : 113 	 Error : 0.150099 	 Accuracy : 0.790419
Epoch : 114 	 Error : 0.150059 	 Accuracy : 0.790419
Epoch : 115 	 Error : 0.150019 	 Accuracy : 0.788922
Epoch : 116 	 Error : 0.14998 	 Accuracy : 0.788922
Epoch : 117 	 Error : 0.149941 	 Accuracy : 0.788922
Epoch : 118 	 Error : 0.149903 	 Accuracy : 0.788922
Epoch : 119 	 Error : 0.149864 	 Accuracy : 0.788922
Epoch : 120 	 Error : 0.149827 	 Accuracy : 0.788922
Epoch : 121 	 Error : 0.149789 	 Accuracy : 0.788922
Epoch : 122 	 Error : 0.149752 	 Accuracy : 0.788922
Epoch : 123 	 Error : 0.149715 	 Accuracy : 0.788922
Epoch : 124 	 Error : 0.149679 	 Accuracy : 0.788922
Epoch : 125 	 Error : 0.149643 	 Accuracy : 0.788922
Epoch : 126 	 Error : 0.149607 	 Accuracy : 0.788922
Epoch : 127 	 Error : 0.149572 	 Accuracy : 0.788922
Epoch : 128 	 Error : 0.149536 	 Accuracy : 0.788922
Epoch : 129 	 Error : 0.149501 	 Accuracy : 0.788922
Epoch : 130 	 Error : 0.149467 	 Accuracy : 0.788922
Epoch : 131 	 Error : 0.149433 	 Accuracy : 0.788922
Epoch : 132 	 Error : 0.149398 	 Accuracy : 0.788922
Epoch : 133 	 Error : 0.149365 	 Accuracy : 0.788922
Epoch : 134 	 Error : 0.149331 	 Accuracy : 0.788922
Epoch : 135 	 Error : 0.149298 	 Accuracy : 0.788922
Epoch : 136 	 Error : 0.149265 	 Accuracy : 0.788922
Epoch : 137 	 Error : 0.149232 	 Accuracy : 0.788922
Epoch : 138 	 Error : 0.149199 	 Accuracy : 0.788922
Epoch : 139 	 Error : 0.149167 	 Accuracy : 0.787425
Epoch : 140 	 Error : 0.149135 	 Accuracy : 0.787425
Epoch : 141 	 Error : 0.149103 	 Accuracy : 0.787425
Epoch : 142 	 Error : 0.149071 	 Accuracy : 0.787425
Epoch : 143 	 Error : 0.14904 	 Accuracy : 0.787425
Epoch : 144 	 Error : 0.149008 	 Accuracy : 0.787425
Epoch : 145 	 Error : 0.148977 	 Accuracy : 0.787425
Epoch : 146 	 Error : 0.148946 	 Accuracy : 0.785928
Epoch : 147 	 Error : 0.148916 	 Accuracy : 0.785928
Epoch : 148 	 Error : 0.148885 	 Accuracy : 0.785928
Epoch : 149 	 Error : 0.148855 	 Accuracy : 0.785928
Epoch : 150 	 Error : 0.148825 	 Accuracy : 0.785928
Epoch : 151 	 Error : 0.148794 	 Accuracy : 0.785928
Epoch : 152 	 Error : 0.148765 	 Accuracy : 0.785928
Epoch : 153 	 Error : 0.148735 	 Accuracy : 0.785928
Epoch : 154 	 Error : 0.148705 	 Accuracy : 0.785928
Epoch : 155 	 Error : 0.148676 	 Accuracy : 0.785928
Epoch : 156 	 Error : 0.148647 	 Accuracy : 0.785928
Epoch : 157 	 Error : 0.148618 	 Accuracy : 0.785928
Epoch : 158 	 Error : 0.148589 	 Accuracy : 0.785928
Epoch : 159 	 Error : 0.14856 	 Accuracy : 0.785928
Epoch : 160 	 Error : 0.148531 	 Accuracy : 0.785928
Epoch : 161 	 Error : 0.148502 	 Accuracy : 0.785928
Epoch : 162 	 Error : 0.148474 	 Accuracy : 0.785928
Epoch : 163 	 Error : 0.148446 	 Accuracy : 0.785928
Epoch : 164 	 Error : 0.148417 	 Accuracy : 0.785928
Epoch : 165 	 Error : 0.148389 	 Accuracy : 0.785928
Epoch : 166 	 Error : 0.148361 	 Accuracy : 0.785928
Epoch : 167 	 Error : 0.148333 	 Accuracy : 0.785928
Epoch : 168 	 Error : 0.148305 	 Accuracy : 0.787425
Epoch : 169 	 Error : 0.148277 	 Accuracy : 0.787425
Epoch : 170 	 Error : 0.14825 	 Accuracy : 0.787425
Epoch : 171 	 Error : 0.148222 	 Accuracy : 0.787425
Epoch : 172 	 Error : 0.148195 	 Accuracy : 0.787425
Epoch : 173 	 Error : 0.148167 	 Accuracy : 0.788922
Epoch : 174 	 Error : 0.14814 	 Accuracy : 0.791916
Epoch : 175 	 Error : 0.148112 	 Accuracy : 0.791916
Epoch : 176 	 Error : 0.148085 	 Accuracy : 0.791916
Epoch : 177 	 Error : 0.148058 	 Accuracy : 0.791916
Epoch : 178 	 Error : 0.148031 	 Accuracy : 0.791916
Epoch : 179 	 Error : 0.148004 	 Accuracy : 0.791916
Epoch : 180 	 Error : 0.147977 	 Accuracy : 0.791916
Epoch : 181 	 Error : 0.14795 	 Accuracy : 0.791916
Epoch : 182 	 Error : 0.147923 	 Accuracy : 0.791916
