2024-03-19 20:48:01 : scalar : MinMaxScalar
2024-03-19 20:48:01 : train test split : 0.25
2024-03-19 20:48:01 : random state : 15
2024-03-19 20:48:01 : epochs : 1000
2024-03-19 20:48:01 : learning rate : 0.001
2024-03-19 20:48:01 : activation function : relu
2024-03-19 20:48:01 : loss function : mean_squared_error
2024-03-19 20:48:01 : Optimizer : Adam

2024-03-19 20:48:01 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 5.113789 	 Accuracy : 0.730539
Epoch : 2 	 Error : 0.179713 	 Accuracy : 0.799401
Epoch : 3 	 Error : 0.160716 	 Accuracy : 0.782934
Epoch : 4 	 Error : 0.156284 	 Accuracy : 0.797904
Epoch : 5 	 Error : 0.155541 	 Accuracy : 0.79491
Epoch : 6 	 Error : 0.152501 	 Accuracy : 0.812874
Epoch : 7 	 Error : 0.149753 	 Accuracy : 0.814371
Epoch : 8 	 Error : 0.148997 	 Accuracy : 0.806886
Epoch : 9 	 Error : 0.149134 	 Accuracy : 0.800898
Epoch : 10 	 Error : 0.149003 	 Accuracy : 0.802395
Epoch : 11 	 Error : 0.14899 	 Accuracy : 0.803892
Epoch : 12 	 Error : 0.148345 	 Accuracy : 0.803892
Epoch : 13 	 Error : 0.147809 	 Accuracy : 0.805389
Epoch : 14 	 Error : 0.146569 	 Accuracy : 0.805389
Epoch : 15 	 Error : 0.145675 	 Accuracy : 0.805389
Epoch : 16 	 Error : 0.145568 	 Accuracy : 0.806886
Epoch : 17 	 Error : 0.144347 	 Accuracy : 0.808383
Epoch : 18 	 Error : 0.143481 	 Accuracy : 0.811377
Epoch : 19 	 Error : 0.144242 	 Accuracy : 0.812874
Epoch : 20 	 Error : 0.141172 	 Accuracy : 0.80988
Epoch : 21 	 Error : 0.141483 	 Accuracy : 0.808383
Epoch : 22 	 Error : 0.140062 	 Accuracy : 0.817365
Epoch : 23 	 Error : 0.137227 	 Accuracy : 0.815868
Epoch : 24 	 Error : 0.136405 	 Accuracy : 0.817365
Epoch : 25 	 Error : 0.135116 	 Accuracy : 0.817365
Epoch : 26 	 Error : 0.134519 	 Accuracy : 0.820359
Epoch : 27 	 Error : 0.134618 	 Accuracy : 0.823353
Epoch : 28 	 Error : 0.134091 	 Accuracy : 0.823353
Epoch : 29 	 Error : 0.134066 	 Accuracy : 0.827844
Epoch : 30 	 Error : 0.133584 	 Accuracy : 0.830838
Epoch : 31 	 Error : 0.138737 	 Accuracy : 0.827844
Epoch : 32 	 Error : 0.133688 	 Accuracy : 0.829341
Epoch : 33 	 Error : 0.133707 	 Accuracy : 0.826347
Epoch : 34 	 Error : 0.133306 	 Accuracy : 0.829341
Epoch : 35 	 Error : 0.131861 	 Accuracy : 0.829341
Epoch : 36 	 Error : 0.13271 	 Accuracy : 0.826347
Epoch : 37 	 Error : 0.132625 	 Accuracy : 0.829341
Epoch : 38 	 Error : 0.129885 	 Accuracy : 0.836826
Epoch : 39 	 Error : 0.130665 	 Accuracy : 0.835329
Epoch : 40 	 Error : 0.130411 	 Accuracy : 0.833832
Epoch : 41 	 Error : 0.130276 	 Accuracy : 0.833832
Epoch : 42 	 Error : 0.130248 	 Accuracy : 0.832335
Epoch : 43 	 Error : 0.130244 	 Accuracy : 0.835329
Epoch : 44 	 Error : 0.129827 	 Accuracy : 0.830838
Epoch : 45 	 Error : 0.129707 	 Accuracy : 0.832335
Epoch : 46 	 Error : 0.129799 	 Accuracy : 0.82485
Epoch : 47 	 Error : 0.133884 	 Accuracy : 0.832335
Epoch : 48 	 Error : 0.132939 	 Accuracy : 0.833832
Epoch : 49 	 Error : 0.131722 	 Accuracy : 0.826347
Epoch : 50 	 Error : 0.134542 	 Accuracy : 0.826347
Epoch : 51 	 Error : 0.131685 	 Accuracy : 0.827844
Epoch : 52 	 Error : 0.131434 	 Accuracy : 0.826347
Epoch : 53 	 Error : 0.131411 	 Accuracy : 0.826347
Epoch : 54 	 Error : 0.129703 	 Accuracy : 0.833832
Epoch : 55 	 Error : 0.130634 	 Accuracy : 0.835329
Epoch : 56 	 Error : 0.13128 	 Accuracy : 0.835329
Epoch : 57 	 Error : 0.13 	 Accuracy : 0.832335
Epoch : 58 	 Error : 0.129456 	 Accuracy : 0.826347
Epoch : 59 	 Error : 0.129656 	 Accuracy : 0.821856
Epoch : 60 	 Error : 0.133622 	 Accuracy : 0.826347
Epoch : 61 	 Error : 0.129753 	 Accuracy : 0.836826
Epoch : 62 	 Error : 0.130686 	 Accuracy : 0.836826
Epoch : 63 	 Error : 0.12809 	 Accuracy : 0.827844
Epoch : 64 	 Error : 0.131225 	 Accuracy : 0.826347
Epoch : 65 	 Error : 0.130792 	 Accuracy : 0.836826
Epoch : 66 	 Error : 0.130019 	 Accuracy : 0.826347
Epoch : 67 	 Error : 0.130325 	 Accuracy : 0.832335
Epoch : 68 	 Error : 0.127317 	 Accuracy : 0.838323
Epoch : 69 	 Error : 0.128193 	 Accuracy : 0.829341
Epoch : 70 	 Error : 0.128115 	 Accuracy : 0.833832
Epoch : 71 	 Error : 0.128435 	 Accuracy : 0.835329
Epoch : 72 	 Error : 0.12826 	 Accuracy : 0.829341
Epoch : 73 	 Error : 0.128039 	 Accuracy : 0.829341
Epoch : 74 	 Error : 0.127832 	 Accuracy : 0.829341
Epoch : 75 	 Error : 0.13044 	 Accuracy : 0.827844
Epoch : 76 	 Error : 0.128907 	 Accuracy : 0.835329
Epoch : 77 	 Error : 0.128908 	 Accuracy : 0.826347
Epoch : 78 	 Error : 0.128543 	 Accuracy : 0.835329
Epoch : 79 	 Error : 0.127053 	 Accuracy : 0.827844
Epoch : 80 	 Error : 0.128646 	 Accuracy : 0.836826
Epoch : 81 	 Error : 0.128394 	 Accuracy : 0.835329
Epoch : 82 	 Error : 0.127231 	 Accuracy : 0.833832
Epoch : 83 	 Error : 0.126344 	 Accuracy : 0.835329
