2024-03-19 20:35:33 : scalar : MinMaxScalar
2024-03-19 20:35:33 : train test split : 0.25
2024-03-19 20:35:33 : random state : 15
2024-03-19 20:35:33 : epochs : 1000
2024-03-19 20:35:33 : learning rate : 0.01
2024-03-19 20:35:33 : activation function : relu
2024-03-19 20:35:33 : loss function : mean_squared_error
2024-03-19 20:35:33 : Optimizer : None

2024-03-19 20:35:33 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.6636 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.231275 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.230605 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.230059 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.229968 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.229826 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.228844 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.229148 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.228993 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.228511 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.228498 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.227278 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.226938 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.228774 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.205116 	 Accuracy : 0.803892
Epoch : 16 	 Error : 0.173121 	 Accuracy : 0.799401
Epoch : 17 	 Error : 0.165236 	 Accuracy : 0.787425
Epoch : 18 	 Error : 0.162129 	 Accuracy : 0.790419
Epoch : 19 	 Error : 0.159027 	 Accuracy : 0.790419
Epoch : 20 	 Error : 0.157133 	 Accuracy : 0.790419
Epoch : 21 	 Error : 0.155651 	 Accuracy : 0.79491
Epoch : 22 	 Error : 0.154311 	 Accuracy : 0.796407
Epoch : 23 	 Error : 0.152765 	 Accuracy : 0.802395
Epoch : 24 	 Error : 0.151655 	 Accuracy : 0.799401
Epoch : 25 	 Error : 0.150578 	 Accuracy : 0.799401
Epoch : 26 	 Error : 0.149561 	 Accuracy : 0.800898
