2024-03-19 20:29:40 : scalar : MinMaxScalar
2024-03-19 20:29:40 : train test split : 0.25
2024-03-19 20:29:40 : random state : 15
2024-03-19 20:29:40 : epochs : 1000
2024-03-19 20:29:40 : learning rate : 0.01
2024-03-19 20:29:40 : activation function : sigmoid
2024-03-19 20:29:40 : loss function : mean_squared_error
2024-03-19 20:29:40 : Optimizer : None

2024-03-19 20:29:40 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.256689 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.238548 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.238491 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.238432 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.238372 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.238309 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.238245 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.238179 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.238109 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.238037 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.237962 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.237884 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.237801 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.237714 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.237623 	 Accuracy : 0.631737
Epoch : 16 	 Error : 0.237526 	 Accuracy : 0.631737
Epoch : 17 	 Error : 0.237424 	 Accuracy : 0.631737
Epoch : 18 	 Error : 0.237315 	 Accuracy : 0.631737
Epoch : 19 	 Error : 0.237199 	 Accuracy : 0.631737
Epoch : 20 	 Error : 0.237075 	 Accuracy : 0.631737
Epoch : 21 	 Error : 0.236942 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.2368 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.236646 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.23648 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.2363 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.236105 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.235892 	 Accuracy : 0.631737
Epoch : 28 	 Error : 0.235659 	 Accuracy : 0.631737
Epoch : 29 	 Error : 0.235404 	 Accuracy : 0.631737
Epoch : 30 	 Error : 0.235124 	 Accuracy : 0.631737
Epoch : 31 	 Error : 0.234814 	 Accuracy : 0.631737
Epoch : 32 	 Error : 0.234471 	 Accuracy : 0.631737
Epoch : 33 	 Error : 0.23409 	 Accuracy : 0.631737
Epoch : 34 	 Error : 0.233665 	 Accuracy : 0.631737
Epoch : 35 	 Error : 0.23319 	 Accuracy : 0.631737
Epoch : 36 	 Error : 0.232657 	 Accuracy : 0.631737
Epoch : 37 	 Error : 0.232056 	 Accuracy : 0.631737
Epoch : 38 	 Error : 0.231376 	 Accuracy : 0.631737
Epoch : 39 	 Error : 0.230604 	 Accuracy : 0.631737
Epoch : 40 	 Error : 0.229721 	 Accuracy : 0.631737
Epoch : 41 	 Error : 0.228708 	 Accuracy : 0.631737
Epoch : 42 	 Error : 0.227538 	 Accuracy : 0.631737
Epoch : 43 	 Error : 0.226175 	 Accuracy : 0.643713
Epoch : 44 	 Error : 0.224575 	 Accuracy : 0.66018
Epoch : 45 	 Error : 0.222681 	 Accuracy : 0.673653
Epoch : 46 	 Error : 0.220417 	 Accuracy : 0.679641
Epoch : 47 	 Error : 0.21769 	 Accuracy : 0.684132
Epoch : 48 	 Error : 0.214384 	 Accuracy : 0.694611
Epoch : 49 	 Error : 0.210368 	 Accuracy : 0.730539
Epoch : 50 	 Error : 0.205517 	 Accuracy : 0.785928
Epoch : 51 	 Error : 0.199752 	 Accuracy : 0.805389
Epoch : 52 	 Error : 0.19312 	 Accuracy : 0.811377
Epoch : 53 	 Error : 0.185883 	 Accuracy : 0.808383
Epoch : 54 	 Error : 0.178562 	 Accuracy : 0.805389
Epoch : 55 	 Error : 0.171831 	 Accuracy : 0.799401
Epoch : 56 	 Error : 0.166263 	 Accuracy : 0.797904
Epoch : 57 	 Error : 0.162094 	 Accuracy : 0.797904
Epoch : 58 	 Error : 0.159192 	 Accuracy : 0.797904
Epoch : 59 	 Error : 0.157236 	 Accuracy : 0.797904
Epoch : 60 	 Error : 0.155903 	 Accuracy : 0.797904
Epoch : 61 	 Error : 0.154959 	 Accuracy : 0.797904
Epoch : 62 	 Error : 0.154258 	 Accuracy : 0.797904
Epoch : 63 	 Error : 0.153716 	 Accuracy : 0.797904
Epoch : 64 	 Error : 0.153284 	 Accuracy : 0.799401
Epoch : 65 	 Error : 0.15293 	 Accuracy : 0.800898
