2024-03-19 20:35:01 : scalar : MinMaxScalar
2024-03-19 20:35:01 : train test split : 0.25
2024-03-19 20:35:01 : random state : 15
2024-03-19 20:35:01 : epochs : 1000
2024-03-19 20:35:01 : learning rate : 0.01
2024-03-19 20:35:01 : activation function : tanh
2024-03-19 20:35:01 : loss function : mean_squared_error
2024-03-19 20:35:01 : Optimizer : Adam

2024-03-19 20:35:01 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.280413 	 Accuracy : 0.796407
Epoch : 2 	 Error : 0.152895 	 Accuracy : 0.808383
Epoch : 3 	 Error : 0.151256 	 Accuracy : 0.814371
Epoch : 4 	 Error : 0.150065 	 Accuracy : 0.814371
Epoch : 5 	 Error : 0.148848 	 Accuracy : 0.815868
Epoch : 6 	 Error : 0.14788 	 Accuracy : 0.815868
Epoch : 7 	 Error : 0.146719 	 Accuracy : 0.815868
Epoch : 8 	 Error : 0.145526 	 Accuracy : 0.814371
Epoch : 9 	 Error : 0.144719 	 Accuracy : 0.815868
Epoch : 10 	 Error : 0.144509 	 Accuracy : 0.815868
Epoch : 11 	 Error : 0.144074 	 Accuracy : 0.815868
Epoch : 12 	 Error : 0.143977 	 Accuracy : 0.815868
Epoch : 13 	 Error : 0.143666 	 Accuracy : 0.815868
Epoch : 14 	 Error : 0.143513 	 Accuracy : 0.815868
Epoch : 15 	 Error : 0.14369 	 Accuracy : 0.815868
Epoch : 16 	 Error : 0.14357 	 Accuracy : 0.815868
Epoch : 17 	 Error : 0.142758 	 Accuracy : 0.815868
Epoch : 18 	 Error : 0.142197 	 Accuracy : 0.815868
Epoch : 19 	 Error : 0.141965 	 Accuracy : 0.815868
Epoch : 20 	 Error : 0.141337 	 Accuracy : 0.815868
Epoch : 21 	 Error : 0.140869 	 Accuracy : 0.812874
Epoch : 22 	 Error : 0.14045 	 Accuracy : 0.814371
Epoch : 23 	 Error : 0.140005 	 Accuracy : 0.814371
Epoch : 24 	 Error : 0.139645 	 Accuracy : 0.811377
Epoch : 25 	 Error : 0.139332 	 Accuracy : 0.812874
Epoch : 26 	 Error : 0.138925 	 Accuracy : 0.811377
Epoch : 27 	 Error : 0.138548 	 Accuracy : 0.806886
Epoch : 28 	 Error : 0.138288 	 Accuracy : 0.806886
Epoch : 29 	 Error : 0.137985 	 Accuracy : 0.806886
Epoch : 30 	 Error : 0.137824 	 Accuracy : 0.805389
Epoch : 31 	 Error : 0.137497 	 Accuracy : 0.803892
Epoch : 32 	 Error : 0.137207 	 Accuracy : 0.805389
Epoch : 33 	 Error : 0.137046 	 Accuracy : 0.806886
Epoch : 34 	 Error : 0.136896 	 Accuracy : 0.808383
Epoch : 35 	 Error : 0.136875 	 Accuracy : 0.808383
Epoch : 36 	 Error : 0.137092 	 Accuracy : 0.800898
Epoch : 37 	 Error : 0.136917 	 Accuracy : 0.805389
Epoch : 38 	 Error : 0.136527 	 Accuracy : 0.805389
Epoch : 39 	 Error : 0.136089 	 Accuracy : 0.805389
Epoch : 40 	 Error : 0.135693 	 Accuracy : 0.806886
Epoch : 41 	 Error : 0.135514 	 Accuracy : 0.805389
Epoch : 42 	 Error : 0.135303 	 Accuracy : 0.80988
Epoch : 43 	 Error : 0.135176 	 Accuracy : 0.812874
Epoch : 44 	 Error : 0.13518 	 Accuracy : 0.817365
Epoch : 45 	 Error : 0.135024 	 Accuracy : 0.812874
Epoch : 46 	 Error : 0.135169 	 Accuracy : 0.808383
Epoch : 47 	 Error : 0.134971 	 Accuracy : 0.814371
Epoch : 48 	 Error : 0.135116 	 Accuracy : 0.818862
Epoch : 49 	 Error : 0.134971 	 Accuracy : 0.817365
Epoch : 50 	 Error : 0.134567 	 Accuracy : 0.817365
Epoch : 51 	 Error : 0.133756 	 Accuracy : 0.808383
Epoch : 52 	 Error : 0.134642 	 Accuracy : 0.815868
Epoch : 53 	 Error : 0.135409 	 Accuracy : 0.820359
Epoch : 54 	 Error : 0.135597 	 Accuracy : 0.817365
Epoch : 55 	 Error : 0.134909 	 Accuracy : 0.815868
Epoch : 56 	 Error : 0.135033 	 Accuracy : 0.820359
Epoch : 57 	 Error : 0.134963 	 Accuracy : 0.821856
Epoch : 58 	 Error : 0.135364 	 Accuracy : 0.823353
Epoch : 59 	 Error : 0.135169 	 Accuracy : 0.820359
Epoch : 60 	 Error : 0.135259 	 Accuracy : 0.82485
Epoch : 61 	 Error : 0.134206 	 Accuracy : 0.826347
Epoch : 62 	 Error : 0.134328 	 Accuracy : 0.821856
Epoch : 63 	 Error : 0.135045 	 Accuracy : 0.820359
Epoch : 64 	 Error : 0.135287 	 Accuracy : 0.821856
Epoch : 65 	 Error : 0.13442 	 Accuracy : 0.821856
Epoch : 66 	 Error : 0.133513 	 Accuracy : 0.821856
Epoch : 67 	 Error : 0.134954 	 Accuracy : 0.823353
Epoch : 68 	 Error : 0.135569 	 Accuracy : 0.823353
Epoch : 69 	 Error : 0.134886 	 Accuracy : 0.823353
Epoch : 70 	 Error : 0.133681 	 Accuracy : 0.823353
Epoch : 71 	 Error : 0.133972 	 Accuracy : 0.823353
Epoch : 72 	 Error : 0.133342 	 Accuracy : 0.821856
Epoch : 73 	 Error : 0.133793 	 Accuracy : 0.82485
Epoch : 74 	 Error : 0.133468 	 Accuracy : 0.823353
Epoch : 75 	 Error : 0.13224 	 Accuracy : 0.82485
Epoch : 76 	 Error : 0.131441 	 Accuracy : 0.82485
Epoch : 77 	 Error : 0.132617 	 Accuracy : 0.82485
Epoch : 78 	 Error : 0.132237 	 Accuracy : 0.827844
Epoch : 79 	 Error : 0.134274 	 Accuracy : 0.82485
Epoch : 80 	 Error : 0.133989 	 Accuracy : 0.821856
Epoch : 81 	 Error : 0.132566 	 Accuracy : 0.827844
Epoch : 82 	 Error : 0.131324 	 Accuracy : 0.827844
Epoch : 83 	 Error : 0.13109 	 Accuracy : 0.827844
Epoch : 84 	 Error : 0.1315 	 Accuracy : 0.830838
Epoch : 85 	 Error : 0.129504 	 Accuracy : 0.830838
Epoch : 86 	 Error : 0.129406 	 Accuracy : 0.826347
Epoch : 87 	 Error : 0.129532 	 Accuracy : 0.829341
Epoch : 88 	 Error : 0.1298 	 Accuracy : 0.829341
Epoch : 89 	 Error : 0.130135 	 Accuracy : 0.829341
Epoch : 90 	 Error : 0.13016 	 Accuracy : 0.829341
Epoch : 91 	 Error : 0.128877 	 Accuracy : 0.833832
Epoch : 92 	 Error : 0.12884 	 Accuracy : 0.833832
Epoch : 93 	 Error : 0.130696 	 Accuracy : 0.835329
Epoch : 94 	 Error : 0.130184 	 Accuracy : 0.833832
Epoch : 95 	 Error : 0.129894 	 Accuracy : 0.832335
Epoch : 96 	 Error : 0.128364 	 Accuracy : 0.829341
Epoch : 97 	 Error : 0.129121 	 Accuracy : 0.829341
Epoch : 98 	 Error : 0.128747 	 Accuracy : 0.829341
Epoch : 99 	 Error : 0.128934 	 Accuracy : 0.829341
