2024-03-19 20:42:57 : scalar : MinMaxScalar
2024-03-19 20:42:57 : train test split : 0.25
2024-03-19 20:42:57 : random state : 15
2024-03-19 20:42:57 : epochs : 1000
2024-03-19 20:42:57 : learning rate : 0.001
2024-03-19 20:42:57 : activation function : tanh
2024-03-19 20:42:57 : loss function : mean_squared_error
2024-03-19 20:42:57 : Optimizer : None

2024-03-19 20:42:57 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.53947 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.232493 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.2325 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.232499 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.232498 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.232497 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.232497 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.232496 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.232495 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.232494 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.232493 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.232492 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.232491 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.23249 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.23249 	 Accuracy : 0.631737
Epoch : 16 	 Error : 0.232489 	 Accuracy : 0.631737
Epoch : 17 	 Error : 0.232488 	 Accuracy : 0.631737
Epoch : 18 	 Error : 0.232487 	 Accuracy : 0.631737
Epoch : 19 	 Error : 0.232486 	 Accuracy : 0.631737
Epoch : 20 	 Error : 0.232485 	 Accuracy : 0.631737
Epoch : 21 	 Error : 0.232484 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.232483 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.232482 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.232482 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.232481 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.23248 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.232479 	 Accuracy : 0.631737
Epoch : 28 	 Error : 0.232478 	 Accuracy : 0.631737
Epoch : 29 	 Error : 0.232477 	 Accuracy : 0.631737
Epoch : 30 	 Error : 0.232476 	 Accuracy : 0.631737
Epoch : 31 	 Error : 0.232475 	 Accuracy : 0.631737
Epoch : 32 	 Error : 0.232474 	 Accuracy : 0.631737
Epoch : 33 	 Error : 0.232474 	 Accuracy : 0.631737
Epoch : 34 	 Error : 0.232473 	 Accuracy : 0.631737
Epoch : 35 	 Error : 0.232472 	 Accuracy : 0.631737
Epoch : 36 	 Error : 0.232471 	 Accuracy : 0.631737
Epoch : 37 	 Error : 0.23247 	 Accuracy : 0.631737
Epoch : 38 	 Error : 0.232469 	 Accuracy : 0.631737
Epoch : 39 	 Error : 0.232468 	 Accuracy : 0.631737
Epoch : 40 	 Error : 0.232467 	 Accuracy : 0.631737
Epoch : 41 	 Error : 0.232466 	 Accuracy : 0.631737
Epoch : 42 	 Error : 0.232465 	 Accuracy : 0.631737
Epoch : 43 	 Error : 0.232464 	 Accuracy : 0.631737
Epoch : 44 	 Error : 0.232463 	 Accuracy : 0.631737
Epoch : 45 	 Error : 0.232462 	 Accuracy : 0.631737
Epoch : 46 	 Error : 0.232462 	 Accuracy : 0.631737
Epoch : 47 	 Error : 0.232461 	 Accuracy : 0.631737
Epoch : 48 	 Error : 0.23246 	 Accuracy : 0.631737
Epoch : 49 	 Error : 0.232459 	 Accuracy : 0.631737
Epoch : 50 	 Error : 0.232458 	 Accuracy : 0.631737
Epoch : 51 	 Error : 0.232457 	 Accuracy : 0.631737
Epoch : 52 	 Error : 0.232456 	 Accuracy : 0.631737
Epoch : 53 	 Error : 0.232455 	 Accuracy : 0.631737
Epoch : 54 	 Error : 0.232454 	 Accuracy : 0.631737
Epoch : 55 	 Error : 0.232453 	 Accuracy : 0.631737
Epoch : 56 	 Error : 0.232452 	 Accuracy : 0.631737
Epoch : 57 	 Error : 0.232451 	 Accuracy : 0.631737
Epoch : 58 	 Error : 0.23245 	 Accuracy : 0.631737
Epoch : 59 	 Error : 0.232449 	 Accuracy : 0.631737
Epoch : 60 	 Error : 0.232448 	 Accuracy : 0.631737
Epoch : 61 	 Error : 0.232447 	 Accuracy : 0.631737
Epoch : 62 	 Error : 0.232446 	 Accuracy : 0.631737
Epoch : 63 	 Error : 0.232445 	 Accuracy : 0.631737
Epoch : 64 	 Error : 0.232444 	 Accuracy : 0.631737
Epoch : 65 	 Error : 0.232443 	 Accuracy : 0.631737
Epoch : 66 	 Error : 0.232442 	 Accuracy : 0.631737
Epoch : 67 	 Error : 0.232441 	 Accuracy : 0.631737
Epoch : 68 	 Error : 0.23244 	 Accuracy : 0.631737
Epoch : 69 	 Error : 0.232439 	 Accuracy : 0.631737
Epoch : 70 	 Error : 0.232438 	 Accuracy : 0.631737
Epoch : 71 	 Error : 0.232437 	 Accuracy : 0.631737
Epoch : 72 	 Error : 0.232436 	 Accuracy : 0.631737
Epoch : 73 	 Error : 0.232435 	 Accuracy : 0.631737
Epoch : 74 	 Error : 0.232434 	 Accuracy : 0.631737
Epoch : 75 	 Error : 0.232433 	 Accuracy : 0.631737
Epoch : 76 	 Error : 0.232432 	 Accuracy : 0.631737
Epoch : 77 	 Error : 0.232431 	 Accuracy : 0.631737
Epoch : 78 	 Error : 0.23243 	 Accuracy : 0.631737
Epoch : 79 	 Error : 0.232429 	 Accuracy : 0.631737
Epoch : 80 	 Error : 0.232428 	 Accuracy : 0.631737
Epoch : 81 	 Error : 0.232427 	 Accuracy : 0.631737
Epoch : 82 	 Error : 0.232426 	 Accuracy : 0.631737
Epoch : 83 	 Error : 0.232425 	 Accuracy : 0.631737
Epoch : 84 	 Error : 0.232424 	 Accuracy : 0.631737
Epoch : 85 	 Error : 0.232423 	 Accuracy : 0.631737
Epoch : 86 	 Error : 0.232421 	 Accuracy : 0.631737
Epoch : 87 	 Error : 0.23242 	 Accuracy : 0.631737
Epoch : 88 	 Error : 0.232419 	 Accuracy : 0.631737
Epoch : 89 	 Error : 0.232418 	 Accuracy : 0.631737
Epoch : 90 	 Error : 0.232417 	 Accuracy : 0.631737
Epoch : 91 	 Error : 0.232416 	 Accuracy : 0.631737
Epoch : 92 	 Error : 0.232415 	 Accuracy : 0.631737
Epoch : 93 	 Error : 0.232414 	 Accuracy : 0.631737
Epoch : 94 	 Error : 0.232413 	 Accuracy : 0.631737
Epoch : 95 	 Error : 0.232411 	 Accuracy : 0.631737
Epoch : 96 	 Error : 0.23241 	 Accuracy : 0.631737
Epoch : 97 	 Error : 0.232409 	 Accuracy : 0.631737
Epoch : 98 	 Error : 0.232408 	 Accuracy : 0.631737
Epoch : 99 	 Error : 0.232407 	 Accuracy : 0.631737
Epoch : 100 	 Error : 0.232406 	 Accuracy : 0.631737
Epoch : 101 	 Error : 0.232405 	 Accuracy : 0.631737
Epoch : 102 	 Error : 0.232403 	 Accuracy : 0.631737
Epoch : 103 	 Error : 0.232402 	 Accuracy : 0.631737
Epoch : 104 	 Error : 0.232401 	 Accuracy : 0.631737
Epoch : 105 	 Error : 0.2324 	 Accuracy : 0.631737
Epoch : 106 	 Error : 0.232399 	 Accuracy : 0.631737
Epoch : 107 	 Error : 0.232397 	 Accuracy : 0.631737
Epoch : 108 	 Error : 0.232396 	 Accuracy : 0.631737
Epoch : 109 	 Error : 0.232395 	 Accuracy : 0.631737
Epoch : 110 	 Error : 0.232394 	 Accuracy : 0.631737
Epoch : 111 	 Error : 0.232393 	 Accuracy : 0.631737
Epoch : 112 	 Error : 0.232391 	 Accuracy : 0.631737
Epoch : 113 	 Error : 0.23239 	 Accuracy : 0.631737
Epoch : 114 	 Error : 0.232389 	 Accuracy : 0.631737
Epoch : 115 	 Error : 0.232388 	 Accuracy : 0.631737
Epoch : 116 	 Error : 0.232386 	 Accuracy : 0.631737
Epoch : 117 	 Error : 0.232385 	 Accuracy : 0.631737
Epoch : 118 	 Error : 0.232384 	 Accuracy : 0.631737
Epoch : 119 	 Error : 0.232382 	 Accuracy : 0.631737
Epoch : 120 	 Error : 0.232381 	 Accuracy : 0.631737
Epoch : 121 	 Error : 0.23238 	 Accuracy : 0.631737
Epoch : 122 	 Error : 0.232378 	 Accuracy : 0.631737
Epoch : 123 	 Error : 0.232377 	 Accuracy : 0.631737
Epoch : 124 	 Error : 0.232376 	 Accuracy : 0.631737
Epoch : 125 	 Error : 0.232374 	 Accuracy : 0.631737
Epoch : 126 	 Error : 0.232373 	 Accuracy : 0.631737
Epoch : 127 	 Error : 0.232372 	 Accuracy : 0.631737
Epoch : 128 	 Error : 0.23237 	 Accuracy : 0.631737
Epoch : 129 	 Error : 0.232369 	 Accuracy : 0.631737
Epoch : 130 	 Error : 0.232368 	 Accuracy : 0.631737
Epoch : 131 	 Error : 0.232366 	 Accuracy : 0.631737
Epoch : 132 	 Error : 0.232365 	 Accuracy : 0.631737
Epoch : 133 	 Error : 0.232363 	 Accuracy : 0.631737
